priority	cluster_id	category	source_text	current_translation	recommended_translation	status	source_location	object_context	neighbouring_strings	where_to_fix	risk	notes
1	known_visual_ui_bugs:no_path	notification	Item Broken	Предмет сломан	Предмет сломан	done	known_visual_ui_bugs:	type=manual		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Known bug: singular Item Broken remains untranslated.
1	known_visual_ui_bugs:no_path	notification	Item Found / Items Found clipped left notification			todo	known_visual_ui_bugs:	type=manual		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Known visual bug around Item Found / Найдено пре... clipping; review shorter wording and UI bounds.
1	known_visual_ui_bugs:no_path	result/search	RESULT/SEARCH paper title / ПОИСКА overlap			todo	known_visual_ui_bugs:	type=manual		add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Known visual bug: result/search paper title overlaps with ПОИСКА; review layout/text without global UI layout changes.
1	known_visual_ui_bugs:no_path	notification	Scuba set was damaged in the process.	Акваланг повреждён.	Акваланг повреждён.	done	known_visual_ui_bugs:	type=manual		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Known wording fix: shorter and uses ё.
1	known_visual_ui_bugs:no_path	notification	You found	Найдено:	Найдено:	done	known_visual_ui_bugs:	type=manual		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Known wording fix for result/notification prefix.
1	known_visual_ui_bugs:no_path	result/search	Your search did not yield results.	Ничего не найдено.	Ничего не найдено.	done	known_visual_ui_bugs:	type=manual		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Known wording fix: replace current Поиск ничего... / Поиск ничего не дал.
2	level1:1517	ui	Sleeping With The Fishes	Сон с рыбами		needs-context	level1:path_id=1517:raw_length_prefixed@171228	type=MonoBehaviour; name=Title; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=Title; dump=level1/MonoBehaviour/1517__Title.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1479:raw_length_prefixed@166988:Title; level1:1548:raw_length_prefixed@204652:Title; level1:1559:raw_length_prefixed@210508:Title; level1::raw_ascii@166988:; level1::raw_ascii@204652:; +5 more; v1.1.3 locations=level1:1517:raw_length_prefixed@171228:Title; level1:1586:raw_length_prefixed@208892:Title; level1:1597:raw_length_prefixed@214748:Title; level1::raw_ascii@171228:; level1::raw_ascii@208892:; +5 more. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1518	unknown	Light Items	Легкие предметы		needs-context	level1:path_id=1518:raw_length_prefixed@171772	type=MonoBehaviour; name=subtitle; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=subtitle; dump=level1/MonoBehaviour/1518__subtitle.json		translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1480:raw_length_prefixed@167532:subtitle; level1::raw_ascii@167532:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1518:raw_length_prefixed@171772:subtitle; level1::raw_ascii@171772:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1528	unknown	Heavy Items	Тяжелые предметы		needs-context	level1:path_id=1528:raw_length_prefixed@177084	type=MonoBehaviour; name=subtitle; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=subtitle; dump=level1/MonoBehaviour/1528__subtitle.json		translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1490:raw_length_prefixed@172844:subtitle; level1::raw_ascii@172844:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1528:raw_length_prefixed@177084:subtitle; level1::raw_ascii@177084:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1529	notification	Time is running out! Gather whatever you can and toss it into your lifeboat, before the ship sinks. Every item counts! Escape by staying near the boat at the end! However, it can only carry one more person besides you.	Время на исходе! Соберите все, что сможете, и бросайте в спасательную шлюпку, пока корабль не затонул. Важен каждый предмет! Чтобы спастись, в конце оставайтесь рядом со шлюпкой. Но кроме вас она выдержит только еще одного человека.		needs-context	level1:path_id=1529:raw_length_prefixed@177612	type=MonoBehaviour; name=howtoplay_txt; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=howtoplay_txt; dump=level1/MonoBehaviour/1529__howtoplay_txt.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1491:raw_length_prefixed@173372:howtoplay_txt; level1::raw_ascii@173372:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1529:raw_length_prefixed@177612:howtoplay_txt; level1::raw_ascii@177612:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1548	notification	If your night does get interrupted, use an item you brought to handle the situation. If you have no answer, you can try going back to sleep. Sometimes, that’s your only option.	Если ночью вас что-то прервет, используйте взятый предмет, чтобы справиться с ситуацией. Если выхода нет, можно попробовать снова уснуть. Иногда это единственный вариант.		needs-context	level1:path_id=1548:raw_length_prefixed@187996	type=MonoBehaviour; name=howtoplay_txt; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=howtoplay_txt; dump=level1/MonoBehaviour/1548__howtoplay_txt.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1510:raw_length_prefixed@183756:howtoplay_txt; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1548:raw_length_prefixed@187996:howtoplay_txt; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1557	unknown	Super Energy	Суперэнергия		needs-context	level1:path_id=1557:raw_length_prefixed@192924	type=MonoBehaviour; name=subtitle; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=subtitle; dump=level1/MonoBehaviour/1557__subtitle.json		translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1519:raw_length_prefixed@188684:subtitle; level1::raw_ascii@188684:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1557:raw_length_prefixed@192924:subtitle; level1::raw_ascii@192924:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1558	ui	"Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one).
When you run out of energy, end the day and try to sleep hoping nothing disrupts your rest."	"Днем тратьте энергию на рыбалку, еду, мелкие дела или разговоры с попутчиком, если вы его взяли.
Когда энергия закончится, завершите день и попытайтесь поспать, надеясь, что ничто не нарушит отдых."		needs-context	level1:path_id=1558:raw_length_prefixed@193452	type=MonoBehaviour; name=howtoplay_txt; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=howtoplay_txt; dump=level1/MonoBehaviour/1558__howtoplay_txt.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1520:raw_length_prefixed@189212:howtoplay_txt; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1558:raw_length_prefixed@193452:howtoplay_txt; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1567	ui	Don't Sleep With the Fishes	Не спи с рыбами		needs-context	level1:path_id=1567:raw_length_prefixed@198476	type=MonoBehaviour; name=main_title; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=main_title; dump=level1/MonoBehaviour/1567__main_title.json		translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1529:raw_length_prefixed@194236:main_title; level1::raw_ascii@194236:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1567:raw_length_prefixed@198476:main_title; level1::raw_ascii@198476:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1591	unknown	Eat for Energy	Ешьте ради энергии		needs-context	level1:path_id=1591:raw_length_prefixed@211564	type=MonoBehaviour; name=subtitle; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=subtitle; dump=level1/MonoBehaviour/1591__subtitle.json		translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1553:raw_length_prefixed@207324:subtitle; level1::raw_ascii@207324:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level1:1591:raw_length_prefixed@211564:subtitle; level1::raw_ascii@211564:; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1616	unknown	"kill
getfish
superhelp"			needs-context	level1:path_id=1616:raw_length_prefixed@225020	type=MonoBehaviour; name=help; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=help; dump=level1/MonoBehaviour/1616__help.json		translations/source_queue.tsv, then rebuild XUnity dictionary	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1576:raw_length_prefixed@219724:help; level2:7135:raw_length_prefixed@1113724:help; level3:4372:raw_length_prefixed@844172:help; level4:9614:raw_length_prefixed@2048428:help; level5:1730:raw_length_prefixed@279772:help; +1 more; v1.1.3 locations=level1:1616:raw_length_prefixed@225020:help; level2:7167:raw_length_prefixed@1117308:help; level3:4404:raw_length_prefixed@847884:help; level4:10360:raw_length_prefixed@2150844:help; level5:1762:raw_length_prefixed@283356:help; +1 more. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1834	unknown	Be a bad fisherman...			needs-context	level1:path_id=1834:raw_length_prefixed@274684	type=MonoBehaviour; name=Medal_1 (6); script=Assembly-CSharp:MedalHolder; gameobject=Medal_1 (6); dump=level1/MonoBehaviour/1834__Medal_1_6.json		needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1793:raw_length_prefixed@268396:Medal_1 (6); level1::raw_ascii@268396:; v1.1.3 locations=level1:1834:raw_length_prefixed@274684:Medal_1 (6); level1::raw_ascii@274684:. Use source text plus neighbouring object context, not path_id/list index.
2	level1:1934	unknown	Bring exploration tools...			needs-context	level1:path_id=1934:raw_length_prefixed@292240	type=MonoBehaviour; name=Medal_1; script=Assembly-CSharp:MedalHolder; gameobject=Medal_1; dump=level1/MonoBehaviour/1934__Medal_1.json		needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:1893:raw_length_prefixed@285952:Medal_1; level1::raw_ascii@285952:; v1.1.3 locations=level1:1934:raw_length_prefixed@292240:Medal_1; level1::raw_ascii@292240:. Use source text plus neighbouring object context, not path_id/list index.
2	level1:2074	notification	You lost an item to the sea.	Предмет унесло в море.		needs-context	level1:path_id=2074:raw_length_prefixed@334932	type=MonoBehaviour; name=GameController; script=Assembly-CSharp:game_controller; gameobject=GameController; dump=level1/MonoBehaviour/2074__GameController.json	Dead by the Sea. | Your friend is sleeping with the fishes. || Something broke during the night. | You did not sleep very well. | You feel weak.	translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:2021:raw_length_prefixed@325988:GameController; level2:7671:raw_length_prefixed@1203396:GameController; level3:4926:raw_length_prefixed@957656:GameController; level4:10354:raw_length_prefixed@2180508:GameController; level5:1909:raw_length_prefixed@339636:GameController; v1.1.3 locations=level1:2074:raw_length_prefixed@334932:GameController; level2:7712:raw_length_prefixed@1210100:GameController; level3:4967:raw_length_prefixed@964544:GameController; level4:11119:raw_length_prefixed@2288524:GameController; level5:1950:raw_length_prefixed@346340:GameController. Use source text plus neighbouring object context, not path_id/list index.
2	level1:2074	ui	Your friend is sleeping with the fishes.	Ваш спутник спит с рыбами.		needs-context	level1:path_id=2074:raw_length_prefixed@334888	type=MonoBehaviour; name=GameController; script=Assembly-CSharp:game_controller; gameobject=GameController; dump=level1/MonoBehaviour/2074__GameController.json	Dead by the Sea. || You lost an item to the sea. | Something broke during the night. | You did not sleep very well.	translations/source_queue.tsv, then rebuild XUnity dictionary	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:2021:raw_length_prefixed@325944:GameController; level1::raw_ascii@325944:; level2:7671:raw_length_prefixed@1203352:GameController; level3:4926:raw_length_prefixed@957612:GameController; level3::raw_ascii@957612:; +3 more; v1.1.3 locations=level1:2074:raw_length_prefixed@334888:GameController; level1::raw_ascii@334888:; level2:7712:raw_length_prefixed@1210056:GameController; level3:4967:raw_length_prefixed@964500:GameController; level3::raw_ascii@964500:; +3 more. Use source text plus neighbouring object context, not path_id/list index.
2	level1:no_path	notification	If your night does get interrupted, use an item you brought to handle the situation. If you have no answer, you can try going back to sleep. Sometimes, that			needs-context	level1:raw_ascii@187996	type=raw_bytes	Use Custom Seed? | (Development build) | Keep empty for random seed... || s your only option. | Scenario Mode | Super Energy	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1::raw_ascii@183756:; v1.1.3 locations=level1::raw_ascii@187996:. Use source text plus neighbouring object context, not path_id/list index.
2	level1:no_path	unknown	Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one).			needs-context	level1:raw_ascii@193452	type=raw_bytes	s your only option. | Scenario Mode | Super Energy || When you run out of energy, end the day and try to sleep hoping nothing disrupts your r... | Step 1: Grab and Run! | +Slower Hunger	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1::raw_ascii@189212:; v1.1.3 locations=level1::raw_ascii@193452:. Use source text plus neighbouring object context, not path_id/list index.
2	level1:no_path	ui	When you run out of energy, end the day and try to sleep hoping nothing disrupts your rest.			needs-context	level1:raw_ascii@193579	type=raw_bytes	Scenario Mode | Super Energy | Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting... || Step 1: Grab and Run! | +Slower Hunger | +Health Regenerates	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1::raw_ascii@189339:; v1.1.3 locations=level1::raw_ascii@193579:. Use source text plus neighbouring object context, not path_id/list index.
2	level1:no_path	notification	You lost an item to the sea.!			needs-context	level1:raw_ascii@334932	type=raw_bytes	I1V | Dead by the Sea. | Your friend is sleeping with the fishes. || Something broke during the night. | You did not sleep very well. | You feel weak.	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1::raw_ascii@325988:; level3::raw_ascii@957656:; level5::raw_ascii@339636:; v1.1.3 locations=level1::raw_ascii@334932:; level3::raw_ascii@964544:; level5::raw_ascii@346340:. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7156	item	Pick Up	Взять		suspicious-mapping	level2:path_id=7156:raw_length_prefixed@1111468	type=MonoBehaviour; name=ItemName; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemName; dump=level2/MonoBehaviour/7156__ItemName.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7124:raw_length_prefixed@1107884:ItemName; v1.1.3 locations=level2:7156:raw_length_prefixed@1111468:ItemName. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7163	item	Throw Items!	Бросайте предметы!		suspicious-mapping	level2:path_id=7163:raw_length_prefixed@1115180	type=MonoBehaviour; name=ItemName; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=ItemName; dump=level2/MonoBehaviour/7163__ItemName.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7131:raw_length_prefixed@1111596:ItemName; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::; v1.1.3 locations=level2:7163:raw_length_prefixed@1115180:ItemName; translations/source_queue.tsv:::; patches/xunity_autotranslator/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt:::. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7221	item	Food	Еда		suspicious-mapping	level2:path_id=7221:raw_length_prefixed@1140532	type=MonoBehaviour; name=food_fish (27); script=Assembly-CSharp:ItemPickupable; gameobject=food_fish (27); dump=level2/MonoBehaviour/7221__food_fish_27.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7186:raw_length_prefixed@1135300:food_fish (27); level2:7191:raw_length_prefixed@1135732:food_fish (20); level2:7195:raw_length_prefixed@1136068:food_fish (22); level2:7203:raw_length_prefixed@1136708:food_fish (24); level2:7207:raw_length_prefixed@1136980:food_fish (25); +49 more; v1.1.3 locations=level2:7221:raw_length_prefixed@1140532:food_fish (27); level2:7226:raw_length_prefixed@1140964:food_fish (20); level2:7230:raw_length_prefixed@1141300:food_fish (22); level2:7238:raw_length_prefixed@1141940:food_fish (24); level2:7242:raw_length_prefixed@1142212:food_fish (25); +49 more. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7232	item	Scuba Set	Акваланг		suspicious-mapping	level2:path_id=7232:raw_length_prefixed@1141444	type=MonoBehaviour; name=scuba_set (1); script=Assembly-CSharp:ItemPickupable; gameobject=scuba_set (1); dump=level2/MonoBehaviour/7232__scuba_set_1.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7197:raw_length_prefixed@1136212:scuba_set (1); level2:7243:raw_length_prefixed@1140724:scuba_set (2); level2:7471:raw_length_prefixed@1159188:scuba_set; level4:10020:raw_length_prefixed@2114912:scuba_set; translations/source_queue.tsv:::; +1 more; v1.1.3 locations=level2:7232:raw_length_prefixed@1141444:scuba_set (1); level2:7278:raw_length_prefixed@1145956:scuba_set (2); level2:7506:raw_length_prefixed@1164420:scuba_set; level4:10779:raw_length_prefixed@2221392:scuba_set; translations/source_queue.tsv:::; +1 more. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7249	item	Duct Tape	Скотч		suspicious-mapping	level2:path_id=7249:raw_length_prefixed@1143316	type=MonoBehaviour; name=ducttape (4); script=Assembly-CSharp:ItemPickupable; gameobject=ducttape (4); dump=level2/MonoBehaviour/7249__ducttape_4.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7214:raw_length_prefixed@1138084:ducttape (4); level2:7234:raw_length_prefixed@1139908:ducttape; level2:7296:raw_length_prefixed@1145124:ducttape (1); level2:7406:raw_length_prefixed@1153796:ducttape (5); level2:7424:raw_length_prefixed@1155572:ducttape (2); +6 more; v1.1.3 locations=level2:7249:raw_length_prefixed@1143316:ducttape (4); level2:7269:raw_length_prefixed@1145140:ducttape; level2:7331:raw_length_prefixed@1150356:ducttape (1); level2:7441:raw_length_prefixed@1159028:ducttape (5); level2:7459:raw_length_prefixed@1160804:ducttape (2); +6 more. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7303	item	Flare Gun	Сигнальный пистолет		suspicious-mapping	level2:path_id=7303:raw_length_prefixed@1147780	type=MonoBehaviour; name=flaregun; script=Assembly-CSharp:ItemPickupable; gameobject=flaregun; dump=level2/MonoBehaviour/7303__flaregun.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7268:raw_length_prefixed@1142548:flaregun; level2:7326:raw_length_prefixed@1147268:flaregun (1); level2:7399:raw_length_prefixed@1153268:flaregun (2); level2:7556:raw_length_prefixed@1169156:flaregun (3); level3:4732:raw_length_prefixed@912704:flaregun; +4 more; v1.1.3 locations=level2:7303:raw_length_prefixed@1147780:flaregun; level2:7361:raw_length_prefixed@1152500:flaregun (1); level2:7434:raw_length_prefixed@1158500:flaregun (2); level2:7591:raw_length_prefixed@1174388:flaregun (3); level3:4767:raw_length_prefixed@918064:flaregun; +4 more. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7414	item	Harpoon Gun	Гарпун		suspicious-mapping	level2:path_id=7414:raw_length_prefixed@1156916	type=MonoBehaviour; name=hookgun; script=Assembly-CSharp:ItemPickupable; gameobject=hookgun; dump=level2/MonoBehaviour/7414__hookgun.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7379:raw_length_prefixed@1151684:hookgun; level2:7411:raw_length_prefixed@1154132:hookgun (1); level2:7512:raw_length_prefixed@1162388:hookgun (2); level3:4794:raw_length_prefixed@922368:hookgun; level3::raw_ascii@922368:; +3 more; v1.1.3 locations=level2:7414:raw_length_prefixed@1156916:hookgun; level2:7446:raw_length_prefixed@1159364:hookgun (1); level2:7547:raw_length_prefixed@1167620:hookgun (2); level3:4829:raw_length_prefixed@927808:hookgun; level3::raw_ascii@927808:; +3 more. Use source text plus neighbouring object context, not path_id/list index.
2	level2:7425	item	Fishing Net	Рыболовная сеть		suspicious-mapping	level2:path_id=7425:raw_length_prefixed@1157828	type=MonoBehaviour; name=net (1); script=Assembly-CSharp:ItemPickupable; gameobject=net (1); dump=level2/MonoBehaviour/7425__net_1.json		translations/source_queue.tsv, then rebuild XUnity dictionary	high: serialized location moved between versions	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:7390:raw_length_prefixed@1152596:net (1); level2:7442:raw_length_prefixed@1156868:net (2); level2:7485:raw_length_prefixed@1160308:net; level2:7532:raw_length_prefixed@1164644:net (3); v1.1.3 locations=level2:7425:raw_length_prefixed@1157828:net (1); level2:7477:raw_length_prefixed@1162100:net (2); level2:7520:raw_length_prefixed@1165540:net; level2:7567:raw_length_prefixed@1169876:net (3). Use source text plus neighbouring object context, not path_id/list index.
2	level2:no_path	ui	Baits			needs-context	level2:raw_ascii@218504	type=raw_bytes	umbrella (2) N | mixamorig:RightForeArm | mixamorig:RightShoulder || mixamorig:LeftHandThumb4 | bait (7) N | mixamorig:RightHandThumb2	add/update source-text entry in translations/source_queue.tsv	medium: visible layout/clipping risk	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2::raw_ascii@217448:; level2::raw_ascii@279208:; level3::raw_ascii@133624:; level4::raw_ascii@356888:; v1.1.3 locations=level2::raw_ascii@218504:; level2::raw_ascii@280264:; level3::raw_ascii@134808:; level4::raw_ascii@387608:. Use source text plus neighbouring object context, not path_id/list index.
2	level2:no_path	unknown	FlareGuns			needs-context	level2:raw_ascii@267496	type=raw_bytes	mixamorig:LeftToeBase | mixamorig:LeftArm | mixamorig:RightHandIndex1 || mixamorig:RightArm | mixamorig:LeftHandThumb3 | mixamorig:LeftHandIndex4	needs context before choosing dictionary/runtime/plugin fix	low/medium: verify in clean v1.1.3	Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2::raw_ascii@266440:; v1.1.3 locations=level2::raw_ascii@267496:. Use source text plus neighbouring object context, not path_id/list index.
