version	asset_file	object_type	path_id	object_name	field_path	source_text	normalized_source_text	category	status	translation_guess	context_before	context_after	notes
v1.1.3	level0	raw_bytes			raw_ascii@2382	Library/unity default resources	library/unity default resources	unknown	needs-context				raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1545	demotext	raw_length_prefixed@186380	(Development build)	(development build)	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=19
v1.1.3	level1	raw_bytes			raw_ascii@186380	(Development build)	(development build)	unknown	needs-context		Load Game | Double Hunger | Use Custom Seed?	Keep empty for random seed... | If your night does get interrupted, use an item you brought to handle the situation. If... | s your only option.	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1644	SettingDesc	raw_length_prefixed@240284	(While ON: Press 'F' to Fast-Forward time during the beginning of night events.)	(while on: press 'f' to fast-forward time during the beginning of night events.)	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:2177; length=80
v1.1.3	level1	raw_bytes			raw_ascii@240284	(While ON: Press 'F' to Fast-Forward time during the beginning of night events.)	(while on: press 'f' to fast-forward time during the beginning of night events.)	unknown	needs-context		Screen Resolution | Day 0 | Instant Clicking	Settings | Make yourself visible... | Make too many friends...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@173371	+Double Damage	+double damage	unknown	needs-context		Light Items | How to Play? | +Faster Hunger	New Game | First steps! | How to Play?	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@173356	+Faster Hunger	+faster hunger	unknown	needs-context		Sleeping With The Fishes | Light Items | How to Play?	+Double Damage | New Game | First steps!	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@195260	+Slower Hunger	+slower hunger	unknown	needs-context		Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting... | When you run out of energy, end the day and try to sleep hoping nothing disrupts your r... | Step 1: Grab and Run!	+Health Regenerates | I understand! | True Ending	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@227381	addhappen-happenid,h,h	addhappen-happenid,h,h	unknown	needs-context		Keep new resolution? | Settings | (Removes the requirement of holding mouse button.)	Volume Music | The Game is saved automatically every morning. | Paused	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1834	Medal_1 (6)	raw_length_prefixed@274684	Be a bad fisherman...	be a bad fisherman...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=21
v1.1.3	level1	raw_bytes			raw_ascii@274684	Be a bad fisherman...	be a bad fisherman...	unknown	needs-context		Cancel | Make bad choices... | Have bad time management...	Get kidnapped... | Pay back your debts... | ClickedNewGame	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1934	Medal_1	raw_length_prefixed@292240	Bring exploration tools...	bring exploration tools...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=26
v1.1.3	level1	raw_bytes			raw_ascii@292240	Bring exploration tools...	bring exploration tools...	unknown	needs-context		Get kidnapped... | Pay back your debts... | ClickedNewGame	OpenSettings | UpdateMousesens | UpdateInstantClick	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82200	Celestial Axis	celestial axis	unknown	needs-context		UniStorm URP System | UniStorm Volumetric Clouds | Clouds Shadows	UniStorm Stars | UniStorm Moon | UniStorm Windzone	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1900	NewGameButton	raw_length_prefixed@286028	ClickedNewGame	clickednewgame	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:890; length=14
v1.1.3	level1	raw_bytes			raw_ascii@286028	ClickedNewGame	clickednewgame	unknown	needs-context		Be a bad fisherman... | Get kidnapped... | Pay back your debts...	Bring exploration tools... | OpenSettings | UpdateMousesens	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82144	Clouds Shadows	clouds shadows	unknown	needs-context		Text Area | UniStorm URP System | UniStorm Volumetric Clouds	Celestial Axis | UniStorm Stars | UniStorm Moon	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@82720	DayGameMusic	daygamemusic	unknown	needs-context		UniStorm Windzone | UniStorm Sun | Item Background	Item Label | Fill Area | Sliding Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	2074	GameController	raw_length_prefixed@334316	Dead by the Sea.	dead by the sea.	unknown	needs-context			Your friend is sleeping with the fishes. | You lost an item to the sea. | Something broke during the night.	MonoBehaviour length-prefixed string; script=unknown:1543; length=16
v1.1.3	level1	raw_bytes			raw_ascii@334316	Dead by the Sea.	dead by the sea.	unknown	needs-context		Af>tn | Af>tn | I1V	Your friend is sleeping with the fishes. | You lost an item to the sea.! | Something broke during the night.	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@56400	Directional Light	directional light	unknown	needs-context		Library/unity default resources | LoreNoClick	ScenarioMode | Text (TMP) | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@71808	Directional Light	directional light	unknown	needs-context		Text (TMP) | Settings | Text (TMP)	use | Point Light | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@76952	Fill Area	fill area	unknown	needs-context		Point Light | Text (TMP) | Text Area	Handle Slide Area | Handle Slide Area | Fill Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@77624	Fill Area	fill area	unknown	needs-context		Fill Area | Handle Slide Area | Handle Slide Area	Accept | Fill Area | SettingsFade	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@78408	Fill Area	fill area	unknown	needs-context		Handle Slide Area | Fill Area | Accept	SettingsFade | Handle Slide Area | Text (TMP)	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@83304	Fill Area	fill area	unknown	needs-context		Item Background | DayGameMusic | Item Label	Sliding Area | Fill Area | Settings	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@83704	Fill Area	fill area	unknown	needs-context		Item Label | Fill Area | Sliding Area	Settings | Handle Slide Area | Item	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	2021	UniStorm URP System	raw_length_prefixed@311316	FPS Player	fps player	unknown	needs-context			Main Camera	MonoBehaviour length-prefixed string; script=unknown:728; length=10
v1.1.3	level1	raw_bytes			raw_ascii@311316	FPS Player	fps player	unknown	needs-context		OpenSettings | UpdateMousesens | UpdateInstantClick	Main Camera | A3rp | A3rp	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	MonoBehaviour	1838	Medal_1 (4)	raw_length_prefixed@275244	Get kidnapped...	get kidnapped...	unknown	needs-context				MonoBehaviour length-prefixed string; script=unknown:471; length=16
v1.1.3	level1	raw_bytes			raw_ascii@275244	Get kidnapped...	get kidnapped...	unknown	needs-context		Make bad choices... | Have bad time management... | Be a bad fisherman...	Pay back your debts... | ClickedNewGame | Bring exploration tools...	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@77048	Handle Slide Area	handle slide area	unknown	needs-context		Text (TMP) | Text Area | Fill Area	Handle Slide Area | Fill Area | Accept	raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	raw_bytes			raw_ascii@77576	Handle Slide Area	handle slide area	unknown	needs-context		Text Area | Fill Area | Handle Slide Area	Fill Area | Accept | Fill Area	raw byte fallback candidate; inspect neighbouring Unity object if promoted
