source_text	old_translation	new_translation	context	reason	risk	status
Continue	Продолжить	Далее	ending continue button and cancel/continue TMP labels	Manual screenshot showed ending button text slightly cramped.	Medium: global source appears in more than one TMP label; verify no unwanted semantic change.	fixed_layout_shortening
Lore	История	Архив	main menu endings/history button	Manual screenshot showed `История` button cramped; button opens history/endings/medals archive.	Medium: verify main menu wording is acceptable.	fixed_layout_shortening
Torn Fishing Net	Рваная рыболовная сеть	Рваная сеть	item card/tooltip	Manual screenshot showed torn fishing net name overlapping tooltip area.	Low: same meaning, shorter item card text.	fixed_layout_shortening
Looks reparable!	Можно починить.	Чинится.	item repair tooltip	Manual screenshot showed repair tooltip overlap with item name.	Medium: terse wording is UI-specific but source may appear in cursor/tooltips.	fixed_layout_shortening
Seems useable!	Похоже, можно использовать!	Годится.	item tooltip	Manual feedback showed long item card/action text clips.	Medium: global source-text entry; verify context.	fixed_layout_shortening
Shipmates sunk with the ship.\nCaptain Whiskers may wander the sea alone.	Товарищи затонули вместе с кораблем.\nКапитан Усатик может скитаться по морю в одиночестве.	Товарищи утонули с кораблём.\nКапитан Усатик скитается один.	ending friend fate multiline	Runtime layout-risk row for friend fate multiline text.	Low/medium: ending screen needs screenshot confirmation.	fixed_layout_shortening
Captain Whiskers may wander the sea alone.	Капитан Усатик может скитаться по морю в одиночестве.	Капитан Усатик скитается один.	ending friend fate standalone	Runtime layout-risk and manual ending screen evidence.	Low/medium: verify standalone ending line.	fixed_layout_shortening
Captain Whiskers may wander the sea alone.	Капитан Усатик скитается один.	Усатик остался один.	ending friend_fate runtime-composed line	Fresh runtime audit showed friend_fate still overflows with composed friend/cat sentences; shorter cat atom reduces the block width.	Low/medium: ending screen needs fresh screenshot confirmation.	fixed_layout_shortening
Row's fate is unknown.		Судьба Роу неизвестна.	ending friend fate	Runtime layout-risk row and visible English.	Low: exact source-text fix.	fixed_text_translation
Frederik's fate is unknown.		Судьба Фредерика неизвестна.	ending friend fate	Runtime layout-risk row and visible English.	Low: exact source-text fix.	fixed_text_translation
Send Frederik Instead?		Отправить Фредерика?	night event choice	Runtime layout-risk row and visible English.	Low/medium: verify button width.	fixed_text_translation
What do you think? Should we do this?		Как думаешь, сделать это?	dialogue bubble	Runtime layout-risk row and visible English.	Low/medium: verify dialogue bubble fit.	fixed_layout_shortening
Click to Shoo!		Прогнать	cursor/action prompt	Runtime-visible English in compact cursor prompt.	Medium: source may be prompt-specific; chosen as compact imperative.	fixed_layout_shortening
Needs fixing		Нужен ремонт	cursor/item prompt	Runtime-visible English in compact cursor prompt.	Low: exact source-text fix.	fixed_text_translation
Time is running out! Gather whatever you can and toss it into your lifeboat, before the ship sinks. Every item counts! Escape by staying near the boat at the end! However, it can only carry one more person besides you.	Время на исходе! Соберите все, что сможете, и бросайте в спасательную шлюпку, пока корабль не затонул. Важен каждый предмет! Чтобы спастись, в конце оставайтесь рядом со шлюпкой. Но кроме вас она выдержит только еще одного человека.	Время на исходе! Соберите всё, что сможете, и бросайте в шлюпку, пока корабль не затонул. Важен каждый предмет! Для побега в конце держитесь у шлюпки. Но она выдержит только ещё одного человека, кроме вас.	how-to-play slide	Manual screenshot showed how-to-play slide overlap/clipping.	Medium: still must be checked in-game.	fixed_layout_shortening
Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one).\nWhen you run out of energy, end the day and try to sleep hoping nothing disrupts your rest.	Днем тратьте энергию на рыбалку, еду, мелкие дела или разговоры с попутчиком, если вы его взяли.\nКогда энергия закончится, завершите день и попытайтесь поспать, надеясь, что ничто не нарушит отдых.	Днём тратьте энергию на рыбалку, еду, дела и разговоры с попутчиком, если он с вами.\nКогда энергия закончится, завершите день и ложитесь спать. Остаётся надеяться, что ничто не потревожит отдых.	how-to-play slide	Manual screenshot showed how-to-play slide overlap/clipping.	Medium: still must be checked in-game.	fixed_layout_shortening
Death Stare	Смертельный взгляд	Взгляд смерти	journal title	Manual screenshot showed `Смертельный взгляд` overlapping/clipping.	Low/medium: verify journal title fit.	fixed_layout_shortening
Let me prepare that bait for you. Trust me, this will guarantee they'll be catching fish all day!	Давай я подготовлю эту наживку для тебя. Доверься мне, это обеспечит их ловлей рыбы весь день!	Я подготовлю наживку. Поверь, сегодня улов гарантирован!	dialogue bubble	Runtime layout-risk row showed old translation too long and grammatically poor.	Low: meaning preserved.	fixed_layout_shortening
Quick, hand me the fishnet!	Спешно, передай мне сеть для рыбы!	Скорее, дай сеть!	dialogue bubble	Old translation was long and unnatural.	Low: meaning preserved.	fixed_layout_shortening
A tape record...?	Магнитофонная запись...?	Аудиозапись...?	fishing/item card	Clean v1.1.3 runtime test showed the old item-card text was too long and overlapped.	Low: exact source found in Task_Fishing; compact same-context item wording.	fixed_layout_shortening
CONTROLS:\nLook: Mouse | Move: 'W', 'A', 'S', 'D' | Grab/Throw: 'E'	УПРАВЛЕНИЕ:\nОбзор: мышь | Движение: 'W', 'A', 'S', 'D' | Взять/бросить: 'E'	УПРАВЛЕНИЕ:\nКамера: мышь | Движение: WASD | Взять/бросить: 'E'	how-to-play controls line	Clean v1.1.3 runtime test showed the controls line still cramped/cut on the left.	Low/medium: exact source; verify slide fit in runtime.	fixed_layout_shortening
(While ON: Press 'F' to Fast-Forward time during the beginning of night events.)	Если включено: нажмите F, чтобы ускорить начало ночных событий.	Если включено: F ускоряет ночные события.	options FastForward description	Fresh runtime audit flagged this as mixed RU/EN only because of keybind F; the old Russian text was also long for the settings panel.	Low: exact source; keybind remains Latin intentionally.	fixed_layout_shortening
