seed	found_string	file	encoding_method	byte_offset	nearby_strings	in_source_queue	in_generated_dictionary	recommended_action
Right	wing_right	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	54576	"`! | "" | @# | 0% | P& | `( | globalgamemanagers.assets | sharedassets1.assets | resources.assets | Library/unity default resources | sharedassets0.assets | FADE_EVERYTHING | Difficulties | LoadGameButton | txt | subtitle | Checkmark | title_howtplay"	no	no	add_or_update_exact_source_if_player_facing
Left	leg_left	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	55056	"`! | "" | @# | 0% | P& | `( | globalgamemanagers.assets | sharedassets1.assets | resources.assets | Library/unity default resources | sharedassets0.assets | FADE_EVERYTHING | Difficulties | LoadGameButton | txt | subtitle | Checkmark | title_howtplay"	no	no	add_or_update_exact_source_if_player_facing
Left	wing_left	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	59056	MedalHolder | Title | Lights | description | txt | SunGlare | LoreFade | wing_right | SelectedBanner | OPENBUTTON | Background | content | Toggle | leg_left | Directional Light | Image | Quit | Menu_Music	no	no	add_or_update_exact_source_if_player_facing
Right	leg_right	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	60400	BG | MedalHolder | IMG | PREV_button | LOCKED | screenshot_bg | Easy_locked | txt | page_Title | Play | Medal_1 (3) | TUT_3 | title_howtplay | newgame_title | NEXT_button | Selected_Text | Checkmark | subtitle	no	no	add_or_update_exact_source_if_player_facing
Settings	Settings	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	69628	Easy | BG | BackToMenu | Medal_1 (5) | subtitle | IMG | LoreImage | Image | howtoplay_txt | page_Title | page_num_txt | Toggle | Medal_1 (6) | tut_scr_1 (1) | Medal_1 (4) | description | CUSTOM_SETTINGS_BUTTON | txt	yes	yes	already_covered
Settings	SettingsPanel_Credits	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	75360	Title | fade_bottom | tut_scr_1 (1) | Directional Light | subtitle | CONTENT | NewGameButton | PostProcessing_UI | InputField_seed | Background | Canvas_Tutorial | howtoplay_alte | howtoplay_txt | TUT_2 | page_num_txt | screenshot_bg | BG | txt	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Vol_Sfx	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	77072	Sounds_Wind | Toggle | IMG | Point Light | bg | Selected_Text | runs_text | TheHookGun | Background | Title | subtitle | Desc | Text (TMP) | title_howtplay | Checkmark | txt | HowToPlayExc | MedalHolder	no	no	add_or_update_exact_source_if_player_facing
Resume	Resume	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	77212	Point Light | bg | Selected_Text | runs_text | TheHookGun | Background | Title | Toggle | subtitle | Desc | Text (TMP) | title_howtplay | Checkmark | txt | HowToPlayExc | MedalHolder | Play | Text Area	yes	yes	already_covered
Settings	SettingsPanel_Click	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	79024	clear | newgame_title | Canvas | Point Light | settings_eat_to_energy | Text (TMP) | howtoplay_extra | SelectQuestion | PAUSE_MENU | SettingName | Background | ForcedNightResult | Text Area | SettingPercent | Fill | save_tip | Layer | CursorCanvas	no	no	add_or_update_exact_source_if_player_facing
Settings	SettingsPanel_Vol_Music	game_original/DontSleepWithTheFishes_Data/level1	ascii_strings	80928	FadeToHappenController | txt | NightResulttxt | Handle | Handle Slide Area | Fill Area | Background | Accept | palm_trunk | load_buffer_circle | keep_res_title | Label | button_txt | settings_subtitle | BackToMenu | SettingsPanel_Vol_Sfx | Resume | reset_counter	no	no	add_or_update_exact_source_if_player_facing
