source	file	byte_offset	length	object_path_id	script	gameobject_path_id	gameobject_name	kind
Previous	level1	161628	8	1469	Unity.TextMeshPro:TMPro.TextMeshProUGUI	4	txt	tmp_m_text
How to play?	level1	162156	12	1470	Unity.TextMeshPro:TMPro.TextMeshProUGUI	5	txt	tmp_m_text
No Harm	level1	162684	7	1471	Unity.TextMeshPro:TMPro.TextMeshProUGUI	6	subtitle	tmp_m_text
Adventure	level1	163212	9	1472	Unity.TextMeshPro:TMPro.TextMeshProUGUI	7	txt	tmp_m_text
How to Play?	level1	163740	12	1473	Unity.TextMeshPro:TMPro.TextMeshProUGUI	10	title_howtplay	tmp_m_text
Survive the Sea	level1	164268	15	1474	Unity.TextMeshPro:TMPro.TextMeshProUGUI	14	description	tmp_m_text
By non-flying Dutchman.	level1	164796	23	1475	Unity.TextMeshPro:TMPro.TextMeshProUGUI	15	Desc	tmp_m_text
Seagulls!!	level1	165340	10	1476	Unity.TextMeshPro:TMPro.TextMeshProUGUI	18	Desc	tmp_m_text
"CONTROLS:
Look: Mouse | Move: 'W', 'A', 'S', 'D' | Grab/Throw: 'E'"	level1	165868	66	1477	Unity.TextMeshPro:TMPro.TextMeshProUGUI	21	howtoplay_extra	tmp_m_text
Cheats	level1	166460	6	1478	Unity.TextMeshPro:TMPro.TextMeshProUGUI	25	title_cheats	tmp_m_text
Sleeping With The Fishes	level1	166988	24	1479	Unity.TextMeshPro:TMPro.TextMeshProUGUI	27	Title	tmp_m_text
Light Items	level1	167532	11	1480	Unity.TextMeshPro:TMPro.TextMeshProUGUI	28	subtitle	tmp_m_text
How to Play?	level1	168060	12	1481	Unity.TextMeshPro:TMPro.TextMeshProUGUI	31	title_howtplay	tmp_m_text
Survived	level1	168588	8	1482	Unity.TextMeshPro:TMPro.TextMeshProUGUI	42	Title	tmp_m_text
"+Faster Hunger
+Double Damage"	level1	169116	29	1483	Unity.TextMeshPro:TMPro.TextMeshProUGUI	44	description	tmp_m_text
Next	level1	169660	4	1484	Unity.TextMeshPro:TMPro.TextMeshProUGUI	45	txt	tmp_m_text
New Game	level1	170188	8	1485	Unity.TextMeshPro:TMPro.TextMeshProUGUI	67	txt	tmp_m_text
First steps!	level1	170716	12	1486	Unity.TextMeshPro:TMPro.TextMeshProUGUI	68	page_Title	tmp_m_text
How to Play?	level1	171244	12	1487	Unity.TextMeshPro:TMPro.TextMeshProUGUI	72	title_howtplay	tmp_m_text
Locked - Play 'Adventure' first!	level1	171772	32	1488	Unity.TextMeshPro:TMPro.TextMeshProUGUI	73	newgame_title	tmp_m_text
Good Luck	level1	172316	9	1489	Unity.TextMeshPro:TMPro.TextMeshProUGUI	75	Selected_Text	tmp_m_text
Heavy Items	level1	172844	11	1490	Unity.TextMeshPro:TMPro.TextMeshProUGUI	78	subtitle	tmp_m_text
Time is running out! Gather whatever you can and toss it into your lifeboat, before the ship sinks. Every item counts! Escape by staying near the boat at the end! However, it can only carry one more person besides you.	level1	173372	218	1491	Unity.TextMeshPro:TMPro.TextMeshProUGUI	82	howtoplay_txt	tmp_m_text
#0	level1	174108	2	1492	Unity.TextMeshPro:TMPro.TextMeshProUGUI	83	page_num_txt	tmp_m_text
Step 3: Make Choices!	level1	174636	21	1493	Unity.TextMeshPro:TMPro.TextMeshProUGUI	87	page_Title	tmp_m_text
Paid back your debts.	level1	175180	21	1494	Unity.TextMeshPro:TMPro.TextMeshProUGUI	89	Desc	tmp_m_text
Next	level1	175724	4	1495	Unity.TextMeshPro:TMPro.TextMeshProUGUI	90	Text (TMP)	tmp_m_text
Drowning	level1	176252	8	1496	Unity.TextMeshPro:TMPro.TextMeshProUGUI	93	txt	tmp_m_text
The same choice may lead to different outcomes if you try it again in another playthrough!	level1	176780	90	1497	Unity.TextMeshPro:TMPro.TextMeshProUGUI	94	extra_txt	tmp_m_text
Customized Game!	level1	177388	16	1498	Unity.TextMeshPro:TMPro.TextMeshProUGUI	96	extras_on	tmp_m_text
Instant Death	level1	177916	13	1499	Unity.TextMeshPro:TMPro.TextMeshProUGUI	97	subtitle	tmp_m_text
RESET	level1	178444	5	1500	Unity.TextMeshPro:TMPro.TextMeshProUGUI	100	Text (TMP)	tmp_m_text
Rescued by air.	level1	178972	15	1501	Unity.TextMeshPro:TMPro.TextMeshProUGUI	101	Desc	tmp_m_text
Load Game	level1	179500	9	1502	Unity.TextMeshPro:TMPro.TextMeshProUGUI	104	txt	tmp_m_text
v0.0.0	level1	180028	6	1503	Unity.TextMeshPro:TMPro.TextMeshProUGUI	106	versiontext	tmp_m_text
Double Hunger	level1	180556	13	1504	Unity.TextMeshPro:TMPro.TextMeshProUGUI	110	subtitle	tmp_m_text
Seagulls?	level1	181084	9	1505	Unity.TextMeshPro:TMPro.TextMeshProUGUI	117	Title	tmp_m_text
Use Custom Seed?	level1	181612	16	1506	Unity.TextMeshPro:TMPro.TextMeshProUGUI	125	title_seed	tmp_m_text
(Development build)	level1	182140	19	1507	Unity.TextMeshPro:TMPro.TextMeshProUGUI	129	demotext	tmp_m_text
Previous	level1	182684	8	1508	Unity.TextMeshPro:TMPro.TextMeshProUGUI	133	txt	tmp_m_text
Keep empty for random seed...	level1	183212	29	1509	Unity.TextMeshPro:TMPro.TextMeshProUGUI	138	Placeholder	tmp_m_text
If your night does get interrupted, use an item you brought to handle the situation. If you have no answer, you can try going back to sleep. Sometimes, that’s your only option.	level1	183756	178	1510	Unity.TextMeshPro:TMPro.TextMeshProUGUI	139	howtoplay_txt	tmp_m_text
SELECTED	level1	184460	8	1511	Unity.TextMeshPro:TMPro.TextMeshProUGUI	148	Selected_Text	tmp_m_text
Back	level1	184988	4	1512	Unity.TextMeshPro:TMPro.TextMeshProUGUI	157	txt	tmp_m_text
SELECTED	level1	185516	8	1513	Unity.TextMeshPro:TMPro.TextMeshProUGUI	162	Selected_Text	tmp_m_text
DopplerGhost	level1	186572	12	1515	Unity.TextMeshPro:TMPro.TextMeshProUGUI	167	devtext	tmp_m_text
Kidnapped	level1	187100	9	1516	Unity.TextMeshPro:TMPro.TextMeshProUGUI	169	Title	tmp_m_text
Select?	level1	187628	7	1517	Unity.TextMeshPro:TMPro.TextMeshProUGUI	174	Selected_Text	tmp_m_text
Play	level1	188156	4	1518	Unity.TextMeshPro:TMPro.TextMeshProUGUI	175	txt	tmp_m_text
Super Energy	level1	188684	12	1519	Unity.TextMeshPro:TMPro.TextMeshProUGUI	195	subtitle	tmp_m_text
"Use the daytime to spend your energy on fishing, eating, doing small tasks, or chatting to your shipmate (if you brought one).
When you run out of energy, end the day and try to sleep hoping nothing disrupts your rest."	level1	189212	218	1520	Unity.TextMeshPro:TMPro.TextMeshProUGUI	200	howtoplay_txt	tmp_m_text
Step 1: Grab and Run!	level1	189948	21	1521	Unity.TextMeshPro:TMPro.TextMeshProUGUI	201	page_Title	tmp_m_text
