source	current_ru	location	kind	context	category	severity	proposed_fix	action	notes
Energy		game_original/DontSleepWithTheFishes_Data/level3	raw_byte_string	byte_offset=172244; method=raw_ascii	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Health		game_original/DontSleepWithTheFishes_Data/level3	raw_byte_string	byte_offset=177720; method=raw_ascii	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Healthy		level3	mono_string_candidate	object_path_id=4644; script=Assembly-CSharp:FriendHud; gameobject=FriendManageUI; offset=895452	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
I'm hungry.		game_original/DontSleepWithTheFishes_Data/level4	raw_byte_string	byte_offset=2029127; method=raw_ascii	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
"itemgive-itemid-n
itemremove-itemid-n
itembreak-itemid
itemfix-itemid
damage-n
danger-n
dangerset-n
energy-n
hitfriendenergy-n
friendsick-n
curefriend
feedfriend
killfriend
addhappen-happenid,h,h…
adddistance-n
endgame-reason
itemremoverandom
itembreakrandom
notice-message
hitbait-n"		level1	tmp_m_text	object_path_id=1580; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=help; offset=221900	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
SLEEP		sharedassets1.assets	mono_string_candidate	object_path_id=537; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7345112	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
SleepingUnwell		sharedassets1.assets	mono_string_candidate	object_path_id=505; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7320960	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
SleepKiller		sharedassets1.assets	mono_string_candidate	object_path_id=537; script=Assembly-CSharp:NightEventScript; gameobject=; offset=7343024	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
Sorry bud! I actually fell asleep…		game_runtime_test/BepInEx/Translation/ru/Text/_AutoGeneratedTranslations.txt	runtime_xunity_text	target=Извини, бро! Я на самом деле уснул…	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=runtime_xunity_dictionary
TryToSleep		level4	mono_string_candidate	object_path_id=9971; script=UnityEngine.UI:UnityEngine.UI.Button; gameobject=GoBackToSleep; offset=2108544	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
We should be asleep...		game_original/DontSleepWithTheFishes_Data/level4	raw_byte_string	byte_offset=2095236; method=raw_ascii	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
You can't sleep either?		game_original/DontSleepWithTheFishes_Data/level4	raw_byte_string	byte_offset=2095208; method=raw_ascii	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
You did not sleep very well.		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=326060; method=raw_ascii	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Your friend is sleeping with the fishes.		game_original/DontSleepWithTheFishes_Data/level1	raw_byte_string	byte_offset=325944; method=raw_ascii	missing_from_queue	high		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
A3?o)PFo		game_original/DontSleepWithTheFishes_Data/resources.resource	raw_byte_string	byte_offset=8497372; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
a?OFF(ba		game_original/DontSleepWithTheFishes_Data/resources.assets	raw_byte_string	byte_offset=6619862; method=raw_ascii	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=raw_ascii
Actions Database		resources.assets	mono_string_candidate	object_path_id=1901; script=Febucci.TextAnimator.Runtime:Febucci.UI.Actions.ActionDatabase; gameobject=; offset=15974464	missing_from_queue	medium		add_to_source_queue	likely player-facing English source not covered; method=extracted_visible_strings
