block	category	source_text	current_translation	recommended_translation	status	source_location	object_context	neighbouring_strings	layout_risk	where_to_fix	notes
OptionsMenu	unknown	(Removes the requirement of holding mouse button.)	Без удержания мыши.		done	:	type=MonoBehaviour; name=SettingDesc		high: cramped visible UI	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=50
OptionsMenu	unknown	(While ON: Press 'F' to Fast-Forward time during the beginning of night events.)	Если включено: нажмите F, чтобы ускорить начало ночных событий.	Если включено: нажмите F, чтобы ускорить начало ночных событий.	done	:	type=MonoBehaviour; name=SettingDesc; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=SettingDesc; dump=level1/MonoBehaviour/1644__SettingDesc.json		high: cramped visible UI	translations/source_queue.tsv	complete readable Unity text context; MonoBehaviour length-prefixed string; script=unknown:2177; length=80
OptionsMenu	runtime-screenshot	Fast-Forwarding	Ускорение	Ускорение	done	:	category=runtime-screenshot		medium: verify compact fit in runtime	translations/source_queue.tsv	manual runtime screenshot seed
OptionsMenu	unknown	Instant Clicking	Клик		done	:	type=MonoBehaviour; name=SettingName		medium: verify compact fit in runtime	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=16
OptionsMenu	unknown	Mouse Sensitivity	Чувств. мыши		done	:	type=MonoBehaviour; name=SettingName		medium: verify compact fit in runtime	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=17
OptionsMenu	unknown	Restore Defaults	Сбросить	Сбросить	done	:	type=MonoBehaviour; name=txt; script=Unity.TextMeshPro:TMPro.TextMeshProUGUI; gameobject=txt; dump=level1/MonoBehaviour/1610__txt.json		medium: verify compact fit in runtime	translations/source_queue.tsv	complete readable Unity text context; MonoBehaviour length-prefixed string; script=unknown:2177; length=16
OptionsMenu	unknown	Screen Resolution	Разрешение экрана		done	:	type=MonoBehaviour; name=SettingName		medium: verify compact fit in runtime	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=17
OptionsMenu	unknown	Volume Master	Общая громкость		done	:	type=MonoBehaviour; name=SettingName		medium: verify compact fit in runtime	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=13
OptionsMenu	unknown	Volume Music	Музыка		done	:	type=MonoBehaviour; name=SettingName		medium: verify compact fit in runtime	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=12
OptionsMenu	unknown	Volume SFX	Звуки		done	:	type=MonoBehaviour; name=SettingName		medium: verify compact fit in runtime	review block context before source_queue change	unclassified candidate; MonoBehaviour length-prefixed string; script=unknown:2177; length=10
OptionsMenu	ui	ClickToContinue			ignore-technical	:	type=raw_bytes	Text (TMP) | Text (TMP) | Point Light (1) || Text (TMP) | Text (TMP) | Settings	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	ui	close			ignore-technical	:	type=raw_bytes	N8A | idle3Dt? | fish || SettingsCanvas | xOS/2c | F had	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	ui	CRTSettings			ignore-technical	:	type=MonoBehaviour; name=CRTSettings; script=Assembly-CSharp:RetroShadersPro.URP.CRTSettings; dump=globalgamemanagers.assets/MonoBehaviour/2272__CRTSettings.json	CRTSettings	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; UnityPy typetree string
OptionsMenu	ui	OpenSettings			ignore-technical	:	type=MonoBehaviour; name=Settings; script=UnityEngine.UI:UnityEngine.UI.Button; gameobject=Settings; dump=level1/MonoBehaviour/1980__Settings.json		medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; MonoBehaviour length-prefixed string; script=unknown:890; length=12
OptionsMenu	ui	Restore Default Settings	Сбросить настройки		ignore-technical	:	type=MonoBehaviour; name=SettingName		medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; MonoBehaviour length-prefixed string; script=unknown:2177; length=24
OptionsMenu	unknown	scubaTaskCamera			ignore-technical	:	type=raw_bytes	Point Light (1) | Text (TMP) | Text (TMP) || UseDuctTape | SettingsFade | mixamorig:LeftForeArm	medium: verify compact fit in runtime	review block context before source_queue change	demoted by workset classifier; Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level3::raw_ascii@193648:; v1.1.3 locations=level3::raw_ascii@194832:. Use source text plus neighbouring object context, not path_id/list index.
OptionsMenu	ui	Settings	Опции		ignore-technical	:	type=GameObject; name=Settings		medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; UnityPy typetree string
OptionsMenu	ui	SettingsCanvas			ignore-technical	:	type=raw_bytes	idle3Dt? | fish | close || xOS/2c | F had | Y F jad	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	ui	SettingsFade			ignore-technical	:	type=raw_bytes	Fill Area | Accept | Fill Area || Handle Slide Area | Text (TMP) | Text (TMP)	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	ui	SettingsIcon			ignore-technical	:	type=raw_bytes	Weather Icon 5 | Weather Icon 8 | Moon Phase 6 || LiberationSans SDF Atlas | LiberationSans SDF Atlas | PU?Op	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	ui	TMP Settings			ignore-technical	:	type=MonoBehaviour; name=TMP Settings; script=Unity.TextMeshPro:TMPro.TMP_Settings; dump=resources.assets/MonoBehaviour/1933__TMP_Settings.json	TMP Settings | Sprite Assets/ | Color Gradient Presets/	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; UnityPy typetree string
OptionsMenu	unknown	Weather Icon 5			ignore-technical	:	type=raw_bytes	UIElement8px | Weather Icon 2 | Pine Needle || Weather Icon 8 | Moon Phase 6 | SettingsIcon	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	unknown	Weather Icon 8			ignore-technical	:	type=raw_bytes	Weather Icon 2 | Pine Needle | Weather Icon 5 || Moon Phase 6 | SettingsIcon | LiberationSans SDF Atlas	medium: verify compact fit in runtime	review block context before source_queue change	internal Unity/helper/source name; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	unknown	addhappen-happenid,h,h			needs-context	:	type=raw_bytes	Keep new resolution? | Settings | (Removes the requirement of holding mouse button.) || Volume Music | The Game is saved automatically every morning. | Paused	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	dynamic/runtime	Blend shape frame weight must be greater than previous frame weight			needs-context	:	type=binary_string	The number of vertices in the combined mesh (%zu) exceeds the maximum supported vertex count (%zu) of the UInt16 index format. Consider u... | Cannot combine mesh: %s | The number of vertices in the combined mesh (%zu) exceeds the maximum supported vertex count (%zu) of the UInt32 index format. || Blend shape name already exists | subMeshCount can't be set to negative value | Not allowed to access %s on mesh '%s' (isReadable is false; Read/Write must be enabled in import settings)	high: cramped visible UI	review block context before source_queue change	unclassified candidate; binary string candidate for weight/fishing diagnostic
OptionsMenu	ui	Color Gradient Presets/			needs-context	:	type=MonoBehaviour; name=TMP Settings; script=Unity.TextMeshPro:TMPro.TMP_Settings; dump=resources.assets/MonoBehaviour/1933__TMP_Settings.json	TMP Settings | TMP Settings | Sprite Assets/	medium: verify compact fit in runtime	review block context before source_queue change	complete readable Unity text context; MonoBehaviour length-prefixed string; script=unknown:596; length=23
OptionsMenu	unknown	F had			needs-context	:	type=raw_bytes	close | SettingsCanvas | xOS/2c || Y F jad | 0b01aYN | Y7m3	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	unknown	idle3Dt?			needs-context	:	type=raw_bytes	SL5y | J2E | N8A || fish | close | SettingsCanvas	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	unknown	LiberationSans SDF Atlas			needs-context	:	type=raw_bytes	Weather Icon 8 | Moon Phase 6 | SettingsIcon || LiberationSans SDF Atlas | PU?Op | Alpha Cutoff	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	unknown	Moon Phase 6			needs-context	:	type=raw_bytes	Pine Needle | Weather Icon 5 | Weather Icon 8 || SettingsIcon | LiberationSans SDF Atlas | LiberationSans SDF Atlas	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	unknown	PU?Op			needs-context	:	type=raw_bytes	SettingsIcon | LiberationSans SDF Atlas | LiberationSans SDF Atlas || Alpha Cutoff | Smoothness Scale | Smoothness texture channel	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
OptionsMenu	unknown	Sliding Area			needs-context	:	type=raw_bytes	DayGameMusic | Item Label | Fill Area || Fill Area | Settings | Handle Slide Area	medium: verify compact fit in runtime	review block context before source_queue change	raw byte fallback needs complete structured source confirmation; raw byte fallback candidate; inspect neighbouring Unity object if promoted
