source	cluster	action	final_russian	evidence	notes
I'm hungry	hud_player_status	added	Хочу есть		targeted cluster cleanup: hud_player_status
I am hungry	hud_player_status	added	Хочу есть		targeted cluster cleanup: hud_player_status
Stomach's growling	hud_player_status	updated	Живот урчит		targeted cluster cleanup: hud_player_status
Satisfied	hud_player_status	added	Сыт		targeted cluster cleanup: hud_player_status
I'm satisfied	hud_player_status	added	Сыт		targeted cluster cleanup: hud_player_status
I am satisfied	hud_player_status	added	Сыт		targeted cluster cleanup: hud_player_status
I'm well rested	hud_player_status	updated	Я выспался		targeted cluster cleanup: hud_player_status
I am well rested	hud_player_status	updated	Я выспался		targeted cluster cleanup: hud_player_status
I'm fully rested	hud_player_status	updated	Я выспался		targeted cluster cleanup: hud_player_status
I am fully rested	hud_player_status	updated	Я выспался		targeted cluster cleanup: hud_player_status
I still have energy	hud_player_status	updated	Сил ещё хватает		targeted cluster cleanup: hud_player_status
I still have energy!	hud_player_status	updated	Сил ещё хватает!		targeted cluster cleanup: hud_player_status
I'm tired a bit	hud_player_status	updated	Я немного устал		targeted cluster cleanup: hud_player_status
I am tired a bit	hud_player_status	updated	Я немного устал		targeted cluster cleanup: hud_player_status
Happy	npc_status_card	updated	Счастлив	visible:level3:byte 895540; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate | resources:level3; object=; field=known_string_search | resources:level3; object=FriendManageUI; field=raw_length_prefixed_string | resources:level4; object=Canvas_Happy; field=known_string_search | resources:level4; object=; field=known_string_search | static:game_original/DontSleepWithTheFishes_Data/level3:byte 895540; seed=Happy	targeted cluster cleanup: npc_status_card
Bored	npc_status_card	added	Скучает	visible:level3:byte 895528; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate | static:game_original/DontSleepWithTheFishes_Data/level3:byte 895528; seed=Bored	targeted cluster cleanup: npc_status_card
Peckish	npc_status_card	updated	Проголодался	visible:level3:byte 895376; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate | static:game_original/DontSleepWithTheFishes_Data/level3:byte 895376; seed=Peckish	targeted cluster cleanup: npc_status_card
Unwell	npc_status_card	updated	Плоховато	visible:level3:byte 895440; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate | static:game_original/DontSleepWithTheFishes_Data/level3:byte 895440; seed=Unwell	targeted cluster cleanup: npc_status_card
Hungry	npc_status_card	updated	Голоден	visible:level3:byte 831644; object=4349; gameobject=Text (TMP); kind=tmp_m_text | visible:level3:byte 895352; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate | visible:level3:byte 895364; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate	targeted cluster cleanup: npc_status_card
Sick	npc_status_card	updated	Болен	visible:level3:byte 811852; object=4312; gameobject=Text (TMP); kind=tmp_m_text | visible:level3:byte 895424; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate | visible:level3:byte 895432; object=4644; gameobject=FriendManageUI; kind=mono_string_candidate	targeted cluster cleanup: npc_status_card
Hurt	npc_status_card	not_added_no_evidence	Ранен		not observed/found in current extracted reports
Tired	npc_status_card	not_added_no_evidence	Устал		not observed/found in current extracted reports
Which way?	event_choice	added	Куда?	visible:sharedassets1.assets:byte 7317584; object=501; gameobject=; kind=mono_string_candidate	targeted cluster cleanup: event_choice
Left	event_choice	added	Налево	visible:sharedassets1.assets:byte 7317616; object=501; gameobject=; kind=mono_string_candidate | static:game_original/DontSleepWithTheFishes_Data/il2cpp_data/Metadata/global-metadata.dat:byte 398117; seed=Left	targeted cluster cleanup: event_choice
Right	event_choice	added	Направо	visible:sharedassets1.assets:byte 7317604; object=501; gameobject=; kind=mono_string_candidate | static:game_original/DontSleepWithTheFishes_Data/il2cpp_data/Metadata/global-metadata.dat:byte 398126; seed=Right	targeted cluster cleanup: event_choice
Reach for it?	event_choice	updated	Дотянуться?		targeted cluster cleanup: event_choice
What are you going to do?	event_choice	updated	Что делать?	visible:level3:byte 817756; object=4323; gameobject=Title; kind=tmp_m_text | static:game_original/DontSleepWithTheFishes_Data/level3:byte 817756; seed=What are you going to do?	targeted cluster cleanup: event_choice
Get the Crate!	event_choice	updated	Достать ящик!	visible:level3:byte 803324; object=4296; gameobject=myself_txt; kind=tmp_m_text | static:game_original/DontSleepWithTheFishes_Data/level3:byte 803324; seed=Get the Crate!	targeted cluster cleanup: event_choice
Let Row handle it!	event_choice	updated	Роу справится		targeted cluster cleanup: event_choice
Let Row handle it	event_choice	updated	Роу справится		targeted cluster cleanup: event_choice
Let Frederik handle it!	event_choice	updated	Фредерик справится	visible:level3:byte 822572; object=4332; gameobject=friend_txt; kind=tmp_m_text	targeted cluster cleanup: event_choice
Let Frederik handle it	event_choice	updated	Фредерик справится		targeted cluster cleanup: event_choice
Let Laurel handle it!	event_choice	updated	Лорел справится		targeted cluster cleanup: event_choice
Let Laurel handle it	event_choice	updated	Лорел справится		targeted cluster cleanup: event_choice
Cancel	event_choice	updated	Отмена	visible:level1:byte 251008; object=1694; gameobject=EventSystem; kind=mono_string_candidate | visible:level2:byte 1147472; object=7328; gameobject=EventSystem; kind=mono_string_candidate | visible:level3:byte 830060; object=4346; gameobject=Text (TMP); kind=tmp_m_text | visible:level3:byte 840988; object=4366; gameobject=cancel_txt; kind=tmp_m_text | visible:level3:byte 885184; object=4558; gameobject=EventSystem; kind=mono_string_candidate | visible:level4:byte 2094912; object=9855; gameobject=EventSystem; kind=mono_string_candidate | visible:level5:byte 302752; object=1782; gameobject=EventSystem; kind=mono_string_candidate	targeted cluster cleanup: event_choice
Continue	event_choice	updated	Продолжить	visible:level3:byte 823644; object=4334; gameobject=cancel_txt; kind=tmp_m_text | visible:level5:byte 274844; object=1721; gameobject=Text (TMP); kind=tmp_m_text	targeted cluster cleanup: event_choice
Inside found:	event_choice	added	Внутри найдено:		targeted cluster cleanup: event_choice
Resume	pause_settings_layout	updated	Дальше	visible:level1:byte 231820; object=1598; gameobject=txt; kind=tmp_m_text | visible:level1:byte 315912; object=1976; gameobject=Resume; kind=mono_string_candidate | visible:level2:byte 1123708; object=7153; gameobject=txt; kind=tmp_m_text | visible:level2:byte 1207304; object=7693; gameobject=Resume; kind=mono_string_candidate | visible:level3:byte 854156; object=4390; gameobject=txt; kind=tmp_m_text | visible:level3:byte 961528; object=4947; gameobject=Resume; kind=mono_string_candidate | visible:level4:byte 2058412; object=9632; gameobject=txt; kind=tmp_m_text | visible:level4:byte 2184392; object=10375; gameobject=Resume; kind=mono_string_candidate | visible:level5:byte 289756; object=1748; gameobject=txt; kind=tmp_m_text | visible:level5:byte 343512; object=1930; gameobject=Resume; kind=mono_string_candidate | static:game_original/DontSleepWithTheFishes_Data/level1:byte 77212; seed=Re	targeted cluster cleanup: pause_settings_layout
Instant Clicking	pause_settings_layout	updated	Клик	visible:level1:byte 233932; object=1602; gameobject=SettingName; kind=tmp_m_text | visible:level2:byte 1127436; object=7160; gameobject=SettingName; kind=tmp_m_text | visible:level3:byte 857884; object=4397; gameobject=SettingName; kind=tmp_m_text | visible:level4:byte 2062140; object=9639; gameobject=SettingName; kind=tmp_m_text | visible:level5:byte 293484; object=1755; gameobject=SettingName; kind=tmp_m_text | static:game_original/DontSleepWithTheFishes_Data/level1:byte 233932; seed=Instant Clicking | static:game_original/DontSleepWithTheFishes_Data/level2:byte 1127436; seed=Instant Clicking | static:game_original/DontSleepWithTheFishes_Data/level3:byte 857884; seed=Instant Clicking | static:game_original/DontSleepWithTheFishes_Data/level4:byte 2062140; seed=Instant Clicking | static:game_original/DontSleepWithTheFishes_Data/level5:byte 293484; seed=Instant Clicking	targeted cluster cleanup: pause_settings_layout
(Removes the requirement of holding mouse button.)	pause_settings_layout	updated	Без удержания мыши.	visible:level1:byte 220796; object=1578; gameobject=SettingDesc; kind=tmp_m_text | visible:level2:byte 1117756; object=7142; gameobject=SettingDesc; kind=tmp_m_text | visible:level3:byte 848204; object=4379; gameobject=SettingDesc; kind=tmp_m_text | visible:level4:byte 2052460; object=9621; gameobject=SettingDesc; kind=tmp_m_text | visible:level5:byte 283804; object=1737; gameobject=SettingDesc; kind=tmp_m_text	targeted cluster cleanup: pause_settings_layout
Settings	pause_settings_layout	skipped_scoping_needed	Опции	visible:level1:byte 197500; object=1535; gameobject=txt; kind=tmp_m_text | visible:level1:byte 220268; object=1577; gameobject=txt; kind=tmp_m_text | visible:level1:byte 235516; object=1605; gameobject=settings_subtitle; kind=tmp_m_text | visible:level2:byte 1118860; object=7144; gameobject=txt; kind=tmp_m_text | visible:level2:byte 1125324; object=7156; gameobject=settings_subtitle; kind=tmp_m_text | visible:level3:byte 849308; object=4381; gameobject=txt; kind=tmp_m_text | visible:level3:byte 855772; object=4393; gameobject=settings_subtitle; kind=tmp_m_text | visible:level4:byte 2053564; object=9623; gameobject=txt; kind=tmp_m_text | visible:level4:byte 2060028; object=9635; gameobject=settings_subtitle; kind=tmp_m_text | visible:level5:byte 284908; object=1739; gameobject=txt; kind=tmp_m_text | visible:level5:byte 291372; object=1751; gameobject=settings_subtitle; kind=tmp_m_text | s	skipped: source key is shared by main menu and settings title; XUnity scoping is not enabled
