version	asset_file	object_type	path_id	object_name	field_path	source_text	normalized_source_text	category	status	translation_guess	context_before	context_after	notes
v1.1.3	level1	GameObject	475	Item	m_Name	Item	item	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level1:465:m_Name:Item; level1::raw_ascii@83380:; level2:2219:m_Name:Item; level2::raw_ascii@327652:; level3:1293:m_Name:Item; +6 more; v1.1.3 locations=level1:475:m_Name:Item; level1::raw_ascii@85316:; level2:2226:m_Name:Item; level2::raw_ascii@329140:; level3:1300:m_Name:Item; +5 more. Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	1104	food_fish (1)	m_Name	food_fish (1)	food_fish (1)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:1104:m_Name:food_fish (1); level2:1131:m_Name:food_fish (1); level3:371:m_Name:food_fish (1); level4:174:m_Name:food_fish (1); v1.1.3 locations=level2:1104:m_Name:food_fish (1); level2:1131:m_Name:food_fish (1); level3:371:m_Name:food_fish (1); level4:197:m_Name:food_fish (1). Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	171	bait	m_Name	bait	bait	item	suspicious-mapping	Наживка			Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:171:m_Name:bait; level2:1148:m_Name:bait; level2:7188:raw_length_prefixed@1135444:bait (10); level2:7252:raw_length_prefixed@1141364:bait (5); level2:7266:raw_length_prefixed@1142404:bait (1); +48 more; v1.1.3 locations=level2:171:m_Name:bait; level2:1148:m_Name:bait; level2:7223:raw_length_prefixed@1140676:bait (10); level2:7287:raw_length_prefixed@1146596:bait (5); level2:7301:raw_length_prefixed@1147636:bait (1); +48 more. Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	269	food_fish (4)	m_Name	food_fish (4)	food_fish (4)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:269:m_Name:food_fish (4); level2:679:m_Name:food_fish (4); level3:405:m_Name:food_fish (4); level4:740:m_Name:food_fish (4); v1.1.3 locations=level2:269:m_Name:food_fish (4); level2:679:m_Name:food_fish (4); level3:405:m_Name:food_fish (4); level4:837:m_Name:food_fish (4). Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	285	food_fish (7)	m_Name	food_fish (7)	food_fish (7)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:285:m_Name:food_fish (7); level2:1333:m_Name:food_fish (7); level3:115:m_Name:food_fish (7); level4:2295:m_Name:food_fish (7); v1.1.3 locations=level2:285:m_Name:food_fish (7); level2:1333:m_Name:food_fish (7); level3:115:m_Name:food_fish (7); level4:2599:m_Name:food_fish (7). Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	348	bait (1)	m_Name	bait (1)	bait (1)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:348:m_Name:bait (1); level2:698:m_Name:bait (1); level3:286:m_Name:bait (1); level4:2270:m_Name:bait (1); v1.1.3 locations=level2:348:m_Name:bait (1); level2:698:m_Name:bait (1); level3:286:m_Name:bait (1); level4:2570:m_Name:bait (1). Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	408	food_fish (6)	m_Name	food_fish (6)	food_fish (6)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:408:m_Name:food_fish (6); level2:620:m_Name:food_fish (6); level3:206:m_Name:food_fish (6); level4:1633:m_Name:food_fish (6); v1.1.3 locations=level2:408:m_Name:food_fish (6); level2:620:m_Name:food_fish (6); level3:206:m_Name:food_fish (6); level4:1851:m_Name:food_fish (6). Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	429	food_fish (2)	m_Name	food_fish (2)	food_fish (2)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:429:m_Name:food_fish (2); level2:536:m_Name:food_fish (2); level3:675:m_Name:food_fish (2); level4:525:m_Name:food_fish (2); v1.1.3 locations=level2:429:m_Name:food_fish (2); level2:536:m_Name:food_fish (2); level3:675:m_Name:food_fish (2); level4:598:m_Name:food_fish (2). Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	511	food_fish (5)	m_Name	food_fish (5)	food_fish (5)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:511:m_Name:food_fish (5); level2:841:m_Name:food_fish (5); level3:796:m_Name:food_fish (5); level4:1150:m_Name:food_fish (5); v1.1.3 locations=level2:511:m_Name:food_fish (5); level2:841:m_Name:food_fish (5); level3:796:m_Name:food_fish (5); level4:1304:m_Name:food_fish (5). Use source text plus neighbouring object context, not path_id/list index.
v1.1.3	level2	GameObject	618	food_fish (3)	m_Name	food_fish (3)	food_fish (3)	item	suspicious-mapping				Same English item text exists in both versions but serialized locations differ. v1.1.2 locations=level2:618:m_Name:food_fish (3); level2:784:m_Name:food_fish (3); level3:217:m_Name:food_fish (3); level4:1008:m_Name:food_fish (3); v1.1.3 locations=level2:618:m_Name:food_fish (3); level2:784:m_Name:food_fish (3); level3:217:m_Name:food_fish (3); level4:1143:m_Name:food_fish (3). Use source text plus neighbouring object context, not path_id/list index.
