source_area	source_file	object_context	english_source	current_translation	status	problem_type	recommended_translation	notes
journals	resources.assets/TextAsset/158__journals.txt	all journals	314 text/title cells; 232 unique strings		source_queue-covered	coverage		Exact source queue coverage is complete after this pass; route screenshots still needed.
dialogues	resources.assets/TextAsset/160__dialogues.txt	all dialogues	415 dialogue cells; 412 unique strings		source_queue-covered	coverage		Exact source queue coverage is complete after this pass; route screenshots still needed.
journals	resources.assets/TextAsset/158__journals.txt	themoon_lookat_scary/themoon_sleep_fail	I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed   I need to keep my eyes closed	Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми   Мне нужно держать глаза закрытыми	fixed_text_translation	missing exact key		Trimmed accidental trailing spaces in the source key so XUnity exact matching can work.
journals	resources.assets/TextAsset/158__journals.txt	island_kill_man	I found a lonely, minuscule island, so I decided to wake up Frederik and send him to explore it.<br>After several hours, I started to worry. Maybe I should have gone with him?<br>He never came back. I had to leave… Staying here would only ensure that at least one of us survived. Hopefully.	Я нашёл крошечный одинокий островок и разбудил Фредерика, чтобы он его осмотрел.<br>Прошло несколько часов, и я забеспокоился. Может, надо было пойти с ним?<br>Он не вернулся. Пришлось уйти… Так хотя бы у одного из нас был шанс выжить. Наверное.	fixed_text_translation	missing exact key		Exact source corrected from earlier non-matching paraphrase.
journals	resources.assets/TextAsset/158__journals.txt	island_kill_woman	I found a lonely, minuscule island, so I decided to wake up Laurel and send her to explore it.<br>After several hours, I started to worry. Maybe I should have gone with her?<br>She never came back. I had to leave… Staying here would only ensure that at least one of us survived. Hopefully.	Я нашла крошечный одинокий островок и разбудила Лорел, чтобы она его осмотрела.<br>Прошло несколько часов, и я забеспокоилась. Может, надо было пойти с ней?<br>Она не вернулась. Пришлось уйти… Так хотя бы у одной из нас был шанс выжить. Наверное.	fixed_text_translation	missing exact key		Exact source corrected from earlier non-matching paraphrase.
journals	resources.assets/TextAsset/158__journals.txt	island_kill_row	I found a lonely, minuscule island, so I decided to wake up Row and send him to explore it.<br>After several hours, I started to worry. Maybe I should have gone with him?<br>He never came back. I had to leave… Staying here would only ensure that at least one of us survived. Hopefully.	Я нашёл крошечный одинокий островок и разбудил Роу, чтобы он его осмотрел.<br>Прошло несколько часов, и я забеспокоился. Может, надо было пойти с ним?<br>Он не вернулся. Пришлось уйти… Так хотя бы у одного из нас был шанс выжить. Наверное.	fixed_text_translation	missing exact key		Exact source corrected from earlier non-matching paraphrase.
journals	resources.assets/TextAsset/158__journals.txt	island_sent_man/woman/row	island sent friend journal variants		fixed_text_translation	missing exact key		Three exact island sent variants added for Frederik, Laurel, and Row.
journals	resources.assets/TextAsset/158__journals.txt	islandsmall_foundbait title	Midnight Tour	Ночная вылазка	fixed_text_translation	bad translation		Replaced bad title `Тура ночью`.
journals	resources.assets/TextAsset/158__journals.txt	monsterfish_flashlight_bad title	Death Stare	Взгляд смерти	fixed_layout_shortening	layout/clipping		Shortened screenshot-confirmed cramped journal title.
dialogues	resources.assets/TextAsset/160__dialogues.txt	help_guardyou_fail_01 MAN	Sorry bud! I actually fell asleep…	Извини, бро! Я на самом деле уснул…	fixed_text_translation	missing exact key		Trimmed accidental trailing source space.
dialogues	resources.assets/TextAsset/160__dialogues.txt	cat_01_02 WOMAN	How.. peaceful...	Как.. спокойно...	fixed_text_translation	missing exact key		Trimmed accidental trailing source space.
dialogues	resources.assets/TextAsset/160__dialogues.txt	help_found_neednet_01_02 MAN	Quick, hand me the fishnet!	Скорее, дай сеть!	fixed_layout_shortening	bad/long translation		Shortened for dialogue bubble fit.
dialogues	resources.assets/TextAsset/160__dialogues.txt	help_foundsomething_02_01 MAN	Hmm..? What’s that behind your ear?	Хм..? Что это у тебя за ухом?	fixed_text_translation	bad translation		Fixed wrong `шум`/ear grammar.
dialogues	resources.assets/TextAsset/160__dialogues.txt	help_signal_01/help_signal_03 cigar box lines	cigar box signal dialogue		fixed_layout_shortening	bad/long translation		Shortened and corrected cigar box message lines.
dialogues	resources.assets/TextAsset/160__dialogues.txt	late_days_03_01 MAN	One more day out here and I’m gonna start naming the planks. This one is Jeff. Say hi, Jeff!	Ещё день здесь — и я начну давать доскам имена. Эта — Джефф. Поздоровайся!	fixed_layout_shortening	bad/long translation		Shorter and grammatically clean.
dialogues	resources.assets/TextAsset/160__dialogues.txt	late_days_05_01/05_02 MAN	deck/fire cooking lines		fixed_layout_shortening	bad/long translation		Shortened cramped late-days dialogue lines.
dialogues	resources.assets/TextAsset/160__dialogues.txt	late_days_06_02/08_02/10_01 WOMAN	company suspicion lines		fixed_text_translation	bad translation		Corrected obvious machine-translation grammar errors.
dialogues	resources.assets/TextAsset/160__dialogues.txt	speciality_active MAN	Let me prepare that bait for you. Trust me, this will guarantee they'll be catching fish all day!	Я подготовлю наживку. Поверь, сегодня улов гарантирован!	fixed_layout_shortening	runtime layout risk		Runtime layout-risk row showed old translation was too long.
dialogues	resources.assets/TextAsset/160__dialogues.txt	prenightlore_04_02 WOMAN	… How big are the biggest..?	… А самые большие насколько большие..?	fixed_text_translation	bad translation		Fixed nonsensical grammar.
dialogues	runtime audit TalkDialog	DialogText	What do you think? Should we do this?	Как думаешь, сделать это?	fixed_layout_shortening	runtime-visible English/layout risk		Runtime-visible dialogue bubble from tester audit.
