source	russian	context	file	status
Eat Fish!	Рыбу!	offset=838332;length=9;object_path_id=4361;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=CursorTipText_subText;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	test
Click To Continue	Нажмите, чтобы продолжить	offset=818300;length=17;object_path_id=4324;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=ClickToContinue;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Continue	Продолжить	offset=823644;length=8;object_path_id=4334;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=cancel_txt;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Go To Sleep?	Пойти спать?	offset=826348;length=12;object_path_id=4339;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=Text (TMP);kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Write using your Mouse...	Пишите мышью...	offset=828988;length=25;object_path_id=4344;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=PaperHeader;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
No New Entry	Нет новой записи	offset=829532;length=12;object_path_id=4345;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=no_new_entry;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Not enough energy...	Недостаточно энергии...	offset=832172;length=20;object_path_id=4350;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=myselfcannot_txt;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Fish Food	Еда для рыб	offset=839388;length=9;object_path_id=4363;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=CursorTipText;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Back to Menu	Назад в меню	offset=843644;length=12;object_path_id=4371;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=txt;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
Settings	Настройки	offset=849308;length=8;object_path_id=4381;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;gameobject=txt;kind=tmp_m_text	DontSleepWithTheFishes_Data/level3	todo_needs_rebuild_or_runtime
