source_text	recommended_translation	source_kind	source_file_or_asset	object_or_path	covered_by	status	notes
Sunk with the ship.	Утонул вместе с кораблём.	runtime_visible_audit	game_runtime_test_v1_1_3/BepInEx/dswf_audit/all_unique_english_text.tsv	UI/ENDING_CANVAS/InfoList/1	source_queue; runtime DeathCauseText	fixed_text_translation	Fresh post-0609d4f validator row; dynamic parser preserves `Причина смерти:` prefix and TMP tags.
Cause of Death: Sunk with the ship.	Причина смерти: Утонул вместе с кораблём.	runtime_visible_audit	game_runtime_test_v1_1_3/BepInEx/dswf_audit/all_unique_english_text.tsv	UI/ENDING_CANVAS/InfoList/1	runtime DeathCauseText	fixed_runtime_pattern	Composed runtime form; fixed by death-cause atom parser.
Seagulls!!!	Чайки!!!	IL2CPP metadata	.local_dumps/binary_strings/v1_1_3/binary_strings.tsv	global-metadata.dat	source_queue; runtime DeathCauseText	done	Observed earlier as `Cause of Death: <color=#ff4400>Seagulls!!!`.
Starved to death.	Умер от голода.	IL2CPP/runtime candidate	translations/source_queue.tsv	manual_runtime	source_queue; runtime DeathCauseText	done	Known ending death value.
Died of hunger.	Умер от голода.	inferred runtime atom	translations/source_queue.tsv	manual_runtime	source_queue; runtime DeathCauseText	done	Alternate hunger death value.
Boat fell apart.	Шлюпка развалилась.	inferred runtime atom	translations/source_queue.tsv	manual_runtime	source_queue; runtime DeathCauseText	done	Alternate boat death atom.
Your boat fell apart.	Шлюпка развалилась.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets4.assets/BoatBreak	source_queue; runtime DeathCauseText	done	Confirmed player-facing night/end atom.
Ripped apart.	Растерзан.	inferred runtime atom	translations/source_queue.tsv	manual_runtime	source_queue; runtime DeathCauseText	done	Alternate attack death atom.
Mauled to death.	Растерзан.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/SmallMonsterFishes	source_queue; runtime DeathCauseText	done	Confirmed NightEventScript death value.
Torn into pieces.	Разорван на части.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/SharkMen	source_queue; runtime DeathCauseText	done	Confirmed NightEventScript death value.
Bleeding to death.	Истёк кровью.	level TMP default	.local_dumps/unity_readable/v1_1_3/level5/MonoBehaviour/1755__1.json	UI/ENDING_CANVAS/InfoList/1	source_queue; runtime DeathCauseText	done	Static ending default uses TMP tags; parser preserves them.
Dragged to the seafloor.	Утащен на дно.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/Siren	source_queue; runtime DeathCauseText	done	Death-cause-specific runtime wording differs from older event wording.
Drown.	Утонул.	IL2CPP metadata	.local_dumps/binary_strings/v1_1_3/binary_strings.tsv	global-metadata.dat	source_queue; runtime DeathCauseText	fixed_text_translation	Metadata contains `Cause of Death: <color=#ff4400>Drown.`.
Drowned.	Утонул.	inferred runtime atom	translations/source_queue.tsv	manual_runtime	source_queue; runtime DeathCauseText	done	Alternate water death value.
Kidnapped.	Похищение.	inferred runtime atom	translations/source_queue.tsv	manual_runtime	source_queue; runtime DeathCauseText	done	Can also be an ending title; runtime parser uses it only inside Cause of Death context.
Lost at sea.	Потерялся в море.	inferred runtime atom	translations/source_queue.tsv	manual_runtime	source_queue; runtime DeathCauseText	done	Known ending/death value.
Claimed by the sea.	Море забрало вас.	level TMP default	docs/string_inventory_v1_1_3.tsv	level1/Desc	source_queue; runtime DeathCauseText	done	Known ending/description value; added to parser for safety.
The fog came.	Пришёл туман.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/TheFog	source_queue; runtime DeathCauseText	done	Confirmed NightEventScript result/death value.
Sharing blood with the sea.	Кровь смешалась с морем.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/BloodredWater	source_queue; runtime DeathCauseText	done	Confirmed NightEventScript result/death value.
Found by cargo ship.	Найден грузовым судном.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/BoatInDistance; sharedassets1.assets/Boat_CanSave	source_queue; runtime DeathCauseText	done	End/survival condition atom; covered in Cause of Death parser for safety.
Found by the company.	Найден компанией.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/FarAirplane; sharedassets1.assets/AirPlane_CanSave	source_queue; runtime DeathCauseText	done	End/survival condition atom; covered in Cause of Death parser for safety.
Grabbed into stomatch.	Затащен в желудок.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/HandyMan	source_queue; runtime DeathCauseText	done	Original source typo preserved as lookup key.
Were being watched.	За вами наблюдали.	night event asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets/SeaWatcher	source_queue; runtime DeathCauseText	done	Confirmed NightEventScript result/death value.
Sleeping With The Fishes	Сон с рыбами	level TMP title	docs/string_inventory_v1_1_3.tsv	level1/Title	source_queue	done	Ending title, not a cause atom; kept as title translation.
Sleeping with the Fishes	Сон с рыбами	level TMP title	docs/string_inventory_v1_1_3.tsv	level1/Title	source_queue	done	Case variant of ending title, not a cause atom.
