observed_string	cluster	action	source_location	final_russian	screenshot_context_notes	needs_runtime_log_verification
Peckish	friend_status_card	added	level3:byte 895376; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=friend_status_card	Голоден	observed friend status card mood/hunger label	no
Unwell	friend_status_card	added	level3:byte 895440; object_path_id=4644; gameobject=FriendManageUI; kind=mono_string_candidate | queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=friend_status_card	Нездоров	observed friend status card health label	no
Stomach's growling	top_hud_status	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=top_hud_status	Живот урчит	observed player hunger/status line	no
I'm well rested	top_hud_status	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=top_hud_status	Я выспался	observed player rest/status line	no
I am well rested	top_hud_status	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=top_hud_status	Я выспался	rest/status exact variant	no
I'm fully rested	top_hud_status	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=top_hud_status	Я выспался	rest/status exact variant	no
I am fully rested	top_hud_status	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=top_hud_status	Я выспался	rest/status exact variant	no
I still have energy	top_hud_status	updated	queue:manual_screenshot; kind=manual_runtime; context=hud screenshot	Сил ещё хватает	shortened observed energy/status line	no
I still have energy!	top_hud_status	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=top_hud_status	Сил ещё хватает!	energy/status punctuation variant	no
Reach for it?	floating_crate_event	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=floating_crate_event	Дотянуться?	observed floating crate choice	no
Let Row handle it!	floating_crate_event	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=floating_crate_event	Пусть Роу	observed floating crate friend choice	no
Let Row handle it	floating_crate_event	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=floating_crate_event	Пусть Роу	floating crate friend choice punctuation variant	no
Let Frederik handle it!	floating_crate_event	updated	level3:byte 822572; object_path_id=4332; gameobject=friend_txt; kind=tmp_m_text | neighborhood:level3; object_path_id=4332; offset=822572; reason=nearby_byte_offset;same_kind_nearby_offset | queue:level3; kind=tmp_m_text; context=file=level3;kind=tmp_m_text;script=Unity.TextMeshPro:TMPro.TextMeshProUGUI;object_path_id=4332;gameobject=friend_txt;offset=822572	Пусть Фредерик	shortened floating crate friend choice	no
Let Frederik handle it	floating_crate_event	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=floating_crate_event	Пусть Фредерик	floating crate friend choice punctuation variant	no
Let Laurel handle it!	floating_crate_event	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=floating_crate_event	Пусть Лорел	floating crate friend choice variant	no
Let Laurel handle it	floating_crate_event	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=floating_crate_event	Пусть Лорел	floating crate friend choice punctuation variant	no
Plastic Bottle	fishing_junk_result	updated	level3:byte 908896; object_path_id=4729; gameobject=Task_Fishing; kind=mono_string_candidate | neighborhood:level3; object_path_id=4729; offset=908896; reason=nearby_byte_offset;same_kind_nearby_offset | queue:level3; kind=mono_string_candidate; context=file=level3;kind=mono_string_candidate;script=Assembly-CSharp:FishingController;object_path_id=4729;gameobject=Task_Fishing;offset=908896	Бутылка	shortened fishing/junk result for layout	no
Useless Trash...	fishing_junk_result	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=fishing_junk_result	Мусор...	shortened fishing/junk result for layout	no
Useless trash...	fishing_junk_result	added	queue:manual_runtime; kind=manual_runtime; context=observed QA screenshot exact runtime string; cluster=fishing_junk_result	Мусор...	case variant for fishing/junk result	no
