area	source_kind	source_file_or_asset	object_or_path	english_source	current_translation	recommended_translation	status	notes
FriendManageUI	Unity TMP default	level3	MonoBehaviour/4375__SpecialityText; UI/HUD/FriendManageUI/Stats/Button_Speciality/SpecialityText	Prepare Bait	Подготовить наживку	Подготовить наживку	covered	Readable TMP default and source_queue entry exist.
FriendManageUI	Unity TMP default	level3	MonoBehaviour/4334__text_use; UI/HUD/FriendManageUI/Stats/Button_Speciality/text_use	Boost eating?	Ускорить еду?	Ускорить еду?	covered	Readable TMP default and source_queue entry exist.
FriendManageUI	IL2CPP string/runtime visible	global-metadata.dat; runtime audit	UI/HUD/FriendManageUI/Stats/Button_Speciality/text_use	Improves eating efficiency today.		Сегодня еда сытнее.	fixed_text_translation	Runtime-visible Laurel speciality text; no readable Unity TMP default found, so exact dictionary plus runtime reapply covers late assignment.
FriendManageUI	IL2CPP string/source_queue	global-metadata.dat; translations/source_queue.tsv	UI/HUD/FriendManageUI/Stats/Button_Speciality/text_use	Makes repairing less demanding today.	Ремонт сегодня проще.	Ремонт сегодня проще.	covered	Known repair speciality string already covered before this pass.
FriendManageUI	source_queue/runtime family	translations/source_queue.tsv	UI/HUD/FriendManageUI/Stats/Button_Speciality/text_use	Bait guarantees catches today.	С наживкой улов гарантирован.	С наживкой улов гарантирован.	covered	Known bait speciality result string already covered before this pass.
FriendManageUI	Unity TMP default/source_queue	level3	UI/HUD/FriendManageUI/Stats/Button_Eat/text_use	Feed?	Покормить?	Покормить?	covered	FriendManageUI action button label.
FriendManageUI	Unity TMP default/source_queue	level3	UI/HUD/FriendManageUI/Stats/Button_Heal/text_use	Heal?	Полечить?	Полечить?	covered	FriendManageUI action button label.
FriendManageUI	Unity TMP default/source_queue	level3	UI/HUD/FriendManageUI/Stats/Button_Lonely/text_use	Talk?	Поговорить?	Поговорить?	covered	FriendManageUI action button label.
FriendManageUI	runtime visible/source_queue	runtime audit; translations/source_queue.tsv	UI/HUD/FriendManageUI/name_bg/Name	Row	Роу	Роу	covered	Standalone visible shipmate name already covered.
FriendManageUI	runtime visible/source_queue	runtime audit; translations/source_queue.tsv	UI/HUD/FriendManageUI/name_bg/Name	Frederik	Фредерик	Фредерик	covered	Standalone visible shipmate name already covered.
FriendManageUI	runtime visible	runtime audit	UI/HUD/FriendManageUI/name_bg/Name	Laurel		Лорел	fixed_text_translation	Standalone visible shipmate name added in this pass.
CharacterName	source_queue/runtime family	translations/source_queue.tsv	visible cat names/endings/tooltips	Captain Whiskers	Капитан Усатик	Капитан Усатик	covered	Player-facing cat name covered; compact ending fate uses `Усатик` only inside friend_fate sentence translator.
CharacterName	source_queue/journal family	translations/source_queue.tsv	journals/dialogues/endings	Dorothy	Дороти	Дороти	covered_in_context	Dorothy appears in player-facing prose and exact lines, but no standalone visible FriendManageUI/name-row failure was found in this audit.
Credits	runtime visible	runtime audit	SettingsPanel_Credits/SettingName	Taiki / DopplerGhost / TakDor / Merlidan / Drael		unchanged	technical_ignore	Developer/tester names in an otherwise translated credits line are intentionally left in Latin.
