first_seen_tester	seen_testers_count	seen_sessions_count	seen_count	scene	block_guess	full_transform_path	normalized_text	sample_current_text	has_latin	has_cyrillic	is_english_likely	is_mixed_ru_en	is_layout_risk	status	recommended_translation	notes
dswf_audit_logs_COMPUTER_20260629_142216.zip	5	2	36	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	What do you think? Should we do this?	What do you think? Should we do this?	True	False	True	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Давай я подготовлю эту наживку для тебя. Доверься мне, это обеспечит их ловлей рыбы весь день!	Давай я подготовлю эту наживку для тебя. Доверься мне, это обеспечит их ловлей рыбы весь день!	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Если бы только у нас было огонь, чтобы приготовить... без того чтобы сжечь доски, конечно..	Если бы только у нас было огонь, чтобы приготовить... без того чтобы сжечь доски, конечно..	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Еще один день здесь и я буду давать названия доскам. Эта называется Джейф. Скажи привет, Джейф!	Еще один день здесь и я буду давать названия доскам. Эта называется Джейф. Скажи привет, Джейф!	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Кто-то уже должен был заметить нас, застрявших тут в лодке.	Кто-то уже должен был заметить нас, застрявших тут в лодке.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Надеюсь, кто-то его найдет.. А потом вернет, конечно. Это моя коробка для сигар.	Надеюсь, кто-то его найдет.. А потом вернет, конечно. Это моя коробка для сигар.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Напомнил! У меня есть коробка для сигар.. Мы могли бы отправить в ней сообщение, не так ли?	Напомнил! У меня есть коробка для сигар.. Мы могли бы отправить в ней сообщение, не так ли?	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Спешно, передай мне сеть для рыбы!	Спешно, передай мне сеть для рыбы!	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	Хм..? Что это за шум за твоей ухой?	Хм..? Что это за шум за твоей ухой?	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	270	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/friend_fate	Frederik's fate is unknown.	Frederik's fate is unknown.	True	False	True	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	3	1	234	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/friend_fate	Row's fate is unknown.	Row's fate is unknown.	True	False	True	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	602	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/yourfate	Ваша судьба...	Ваша судьба...	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect|preferred_height_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	210	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/InfoList/2	Дней выжито:	Дней выжито: 	False	True	False	False	True	layout-risk-review		preferred_height_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	14	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/InfoList/2	Дней выжито: 15	Дней выжито: <color=#adf1ff>15	False	True	False	False	True	layout-risk-review		preferred_height_gt_rect
