area	source_kind	source_file_or_asset	object_or_path	english_atom_or_pattern	current_translation	recommended_translation	status	notes
ending_death_cause	runtime_visible_audit	game_runtime_test_v1_1_3/BepInEx/dswf_audit/all_unique_english_text.tsv	UI/ENDING_CANVAS/InfoList/1	Cause of Death: <color=#ff4400>Seagulls!!!		Причина смерти: <color=#ff4400>Чайки!!!	fixed_runtime_pattern	Observed fresh validator failure; runtime parser now preserves TMP tags and translates known cause values.
ending_death_cause	level_tmp_text	.local_dumps/unity_readable/v1_1_3/level5/MonoBehaviour/1755__1.json	InfoList/1	Cause of Death: <size=75><color=#ff4400>Bleeding to death.	Причина смерти: <size=75><color=#ff4400>Потеря крови.	Причина смерти: <size=75><color=#ff4400>Истёк кровью.	fixed_runtime_pattern	Level5 contains a default/static TMP text; live ending can replace only the value after the label.
ending_death_cause	il2cpp_metadata	.local_dumps/binary_strings/v1_1_3/binary_strings.tsv	global-metadata.dat	Seagulls!!!		Чайки!!!	fixed_text_translation	IL2CPP metadata contains this death cause atom; added source_queue row and runtime atom.
ending_death_cause	il2cpp_metadata	.local_dumps/binary_strings/v1_1_3/binary_strings.tsv	global-metadata.dat	Starved to death.	Умер от голода.	Умер от голода.	done	Existing dictionary row; runtime death parser also knows the atom.
ending_death_cause	night_event_asset	docs/string_inventory_v1_1_3.tsv	sharedassets4.assets BoatBreak	Your boat fell apart.	Шлюпка развалилась.	Шлюпка развалилась.	done	Confirmed player-facing event/death atom in Unity inventory.
ending_death_cause	night_event_asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets SharkMen	Torn into pieces.	Разорван на части.	Разорван на части.	done	Confirmed player-facing event/death atom in Unity inventory.
ending_death_cause	night_event_asset	docs/string_inventory_v1_1_3.tsv	sharedassets1.assets Siren	Dragged to the seafloor.	Утащило на дно.	Утащен на дно.	fixed_runtime_pattern	Runtime parser uses a death-cause-specific phrase while the existing event row remains unchanged.
ending_death_cause	inferred_runtime_atom	translations/source_queue.tsv	manual_runtime	Died of hunger.		Умер от голода.	fixed_text_translation	Covered as likely alternate hunger death atom.
ending_death_cause	inferred_runtime_atom	translations/source_queue.tsv	manual_runtime	Boat fell apart.		Шлюпка развалилась.	fixed_text_translation	Covered as likely alternate boat death atom.
ending_death_cause	runtime_visible_audit	game_runtime_test_v1_1_3/BepInEx/dswf_audit/all_unique_english_text.tsv	UI/ENDING_CANVAS/InfoList/1	Sunk with the ship.		Утонул вместе с кораблём.	fixed_text_translation	Fresh post-0609d4f validator row; runtime parser covers the atom inside `Причина смерти: ...`.
ending_death_cause	inferred_runtime_atom	translations/source_queue.tsv	manual_runtime	Ripped apart.		Растерзан.	fixed_text_translation	Covered as likely alternate attack death atom.
ending_death_cause	il2cpp_metadata	.local_dumps/binary_strings/v1_1_3/binary_strings.tsv	global-metadata.dat	Drown.		Утонул.	fixed_text_translation	Metadata contains `Cause of Death: <color=#ff4400>Drown.`; runtime parser covers this spelling.
ending_death_cause	inferred_runtime_atom	translations/source_queue.tsv	manual_runtime	Drowned.		Утонул.	fixed_text_translation	Covered as likely water death atom.
ending_death_cause	inferred_runtime_atom	translations/source_queue.tsv	manual_runtime	Kidnapped.		Похищение.	fixed_text_translation	Covered as likely ending/death value; screenshot showed ending title as `Похищение`.
ending_death_cause	inferred_runtime_atom	translations/source_queue.tsv	manual_runtime	Lost at sea.		Потерялся в море.	fixed_text_translation	Covered as likely ending/death value.
friend_cat_fate	runtime_visible_audit	game_runtime_test_v1_1_3/BepInEx/dswf_audit/all_unique_english_text.tsv	UI/ENDING_CANVAS/friend_fate	Frederik could not make it. Captain Whiskers may wander the sea alone.		Фредерик не выжил. Усатик остался один.	fixed_runtime_pattern	Observed fresh validator failure; runtime sentence-atom translator now covers space/newline combinations.
friend_cat_fate	level_tmp_text	.local_dumps/unity_readable/v1_1_3/level5/MonoBehaviour/1750__friend_fate.json	friend_fate	Shipmates sunk with the ship.\nCaptain Whiskers may wander the sea alone.	Товарищи утонули с кораблём.\nКапитан Усатик скитается один.	Товарищи утонули с кораблём.\nУсатик остался один.	fixed_layout_shortening	Static default/fallback row; shortened for ending layout risk.
friend_cat_fate	raw_level5_string	docs/string_inventory_v1_1_3.tsv	level5 raw_ascii@276716	Shipmates sunk with the ship.	Товарищи утонули с кораблём.	Товарищи утонули с кораблём.	done	Confirmed adjacent raw atom in level5 ending data.
friend_cat_fate	raw_level5_string	docs/string_inventory_v1_1_3.tsv	level5 raw_ascii@276746	Captain Whiskers may wander the sea alone.	Капитан Усатик скитается один.	Усатик остался один.	fixed_layout_shortening	Confirmed adjacent raw atom in level5 ending data; shortened for cramped friend_fate block.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Row could not make it.	Роу не выжил.	Роу не выжил.	done	Existing atom.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Frederik could not make it.		Фредерик не выжил.	fixed_text_translation	Added missing atom for runtime-composed friend fate.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Laurel could not make it.		Лорел не выжила.	fixed_text_translation	Added missing atom for runtime-composed friend fate.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Row's fate is unknown.	Судьба Роу неизвестна.	Судьба Роу неизвестна.	done	Existing atom.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Frederik's fate is unknown.	Судьба Фредерика неизвестна.	Судьба Фредерика неизвестна.	done	Existing atom.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Laurel's fate is unknown.	Судьба Лорел неизвестна.	Судьба Лорел неизвестна.	done	Existing atom.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Captain Whiskers may wander alone.		Усатик остался один.	fixed_text_translation	Alternate cat-fate atom covered by runtime sentence parser.
friend_cat_fate	runtime_atom	translations/source_queue.tsv	manual_runtime	Captain Whiskers is alone.		Усатик остался один.	fixed_text_translation	Alternate cat-fate atom covered by runtime sentence parser.
company_note	level_tmp_text	.local_dumps/unity_readable/v1_1_3/level5/MonoBehaviour/1754__6.json	InfoList/6	Company's Note: <size=70><color=#ffea8c>"Calculated Risk"	Заметка компании: <size=70><color=#ffea8c>"Рассчитанный риск"	Заметка компании: <size=70><color=#ffea8c>"Рассчитанный риск"	done	Static default row exists; runtime can late-assign full quoted values.
company_note	runtime_pattern	plugins/DswfRusRuntimeFix/Plugin.cs	EndingStatsScreen	^Company's Note:\s*"(.+)"$		Known values fully translated; unknown values keep quote text with Russian prefix.	done	`???` is acceptable as `Заметка компании: "???"` unless future evidence proves a missing value.
fishing_weight	runtime_visible_audit	game_runtime_test_v1_1_3/BepInEx/dswf_audit/all_unique_english_text.tsv	THE BOAT/TASKS/Task_Fishing/FishedVisuals/InfoCanvas/FishedInfoHolder/paper/bottom	<b>Weight:</b> 1,37kg		<b>Вес:</b> 1,37 кг	fixed_regex_dynamic	Observed fresh validator failure; regex and runtime parser now support comma and dot decimals.
fishing_weight	binary_string	.local_dumps/binary_strings/v1_1_3/binary_strings.tsv	DontSleepWithTheFishes_Data/level3	<b>Weight:</b> 0.5kg		<b>Вес:</b> 0.5 кг	done	Binary string confirms the runtime weight template; no exact numeric rows are added.
fishing_weight	regex	patches/xunity_autotranslator/BepInEx/Translation/ru/Text/FishingRegex.txt	FishingResultCard	Weight: ([0-9]+(?:[.,][0-9]+)?)kg		Вес: $1 кг	fixed_regex_dynamic	Narrow regex covers plain and bold weight labels, including multiline fish-result cards.
