version	asset_file	object_type	path_id	object_name	field_path	source_text	normalized_source_text	category	status	translation_guess	context_before	context_after	notes
v1.1.3	globalgamemanagers.assets	MonoBehaviour	2272	CRTSettings	m_Name	CRTSettings	crtsettings	ui	todo			CRTSettings	UnityPy typetree string
v1.1.3	globalgamemanagers.assets	MonoBehaviour	2272	CRTSettings	raw_length_prefixed@1902288	CRTSettings	crtsettings	ui	todo		CRTSettings		MonoBehaviour length-prefixed string; script=Assembly-CSharp:RetroShadersPro.URP.CRTSettings; length=11
v1.1.3	level0	raw_bytes			raw_ascii@2382	Library/unity default resources	library/unity default resources	unknown	needs-context				raw byte fallback candidate; inspect neighbouring Unity object if promoted
v1.1.3	level1	GameObject	263	Settings	m_Name	Settings	settings	ui	done	Опции			UnityPy typetree string
v1.1.3	level1	GameObject	296	use	m_Name	use	use	unknown	needs-context				UnityPy typetree string
v1.1.3	level1	GameObject	365	Accept	m_Name	Accept	accept	unknown	done	Принять			UnityPy typetree string
v1.1.3	level1	GameObject	436	Item Background	m_Name	Item Background	item background	notification	todo				UnityPy typetree string
v1.1.3	level1	GameObject	443	Item Label	m_Name	Item Label	item label	notification	todo				UnityPy typetree string
v1.1.3	level1	GameObject	465	Settings	m_Name	Settings	settings	ui	done	Опции			UnityPy typetree string
v1.1.3	level1	GameObject	475	Item	m_Name	Item	item	item	todo				UnityPy typetree string
v1.1.3	level1	GameObject	479	Item Checkmark	m_Name	Item Checkmark	item checkmark	notification	todo				UnityPy typetree string
v1.1.3	level1	GameObject	492	Restore	m_Name	Restore	restore	unknown	needs-context				UnityPy typetree string
v1.1.3	level1	MonoBehaviour	1508	txt	raw_length_prefixed@166396	How to play?	how to play?	unknown	done	Как играть?			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1509	subtitle	raw_length_prefixed@166924	No Harm	no harm	unknown	done	Без урона			MonoBehaviour length-prefixed string; script=unknown:2177; length=7
v1.1.3	level1	MonoBehaviour	1511	title_howtplay	raw_length_prefixed@167980	How to Play?	how to play?	unknown	done	Как играть?			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1512	description	raw_length_prefixed@168508	Survive the Sea	survive the sea	unknown	done	Выживите в море			MonoBehaviour length-prefixed string; script=unknown:2177; length=15
v1.1.3	level1	MonoBehaviour	1513	Desc	raw_length_prefixed@169036	By non-flying Dutchman.	by non-flying dutchman.	unknown	done	От нелетающего голландца.			MonoBehaviour length-prefixed string; script=unknown:2177; length=23
v1.1.3	level1	MonoBehaviour	1517	Title	raw_length_prefixed@171228	Sleeping With The Fishes	sleeping with the fishes	ui	done	Сон с рыбами			MonoBehaviour length-prefixed string; script=unknown:2177; length=24
v1.1.3	level1	MonoBehaviour	1518	subtitle	raw_length_prefixed@171772	Light Items	light items	unknown	done	Легкие предметы			MonoBehaviour length-prefixed string; script=unknown:2177; length=11
v1.1.3	level1	MonoBehaviour	1519	title_howtplay	raw_length_prefixed@172300	How to Play?	how to play?	unknown	done	Как играть?			MonoBehaviour length-prefixed string; script=unknown:2177; length=12
v1.1.3	level1	MonoBehaviour	1521	description	raw_length_prefixed@173356	"+Faster Hunger
+Double Damage"	+faster hunger +double damage	unknown	done	"+Быстрее голод
+Двойной урон"			MonoBehaviour length-prefixed string; script=unknown:2177; length=29
v1.1.3	level1	MonoBehaviour	1523	txt	raw_length_prefixed@174428	New Game	new game	unknown	done	Новая игра			MonoBehaviour length-prefixed string; script=unknown:2177; length=8
