first_seen_tester	seen_testers_count	seen_sessions_count	seen_count	scene	block_guess	full_transform_path	normalized_text	sample_current_text	has_latin	has_cyrillic	is_english_likely	is_mixed_ru_en	is_layout_risk	status	recommended_translation	notes
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	13440	game_storyGameDay	Journal	UI/HUD/JournalMainBook/PageButtons/Button_StepBack/Text (TMP)	<	<	False	False	False	False	True	layout-risk-review		narrow_rect|preferred_height_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	13440	game_storyGameDay	Journal	UI/HUD/JournalMainBook/PageButtons/Button_StepForward/Text (TMP)	>	>	False	False	False	False	True	layout-risk-review		narrow_rect|preferred_height_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	270	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/friend_fate	Frederik's fate is unknown.	Frederik's fate is unknown.	True	False	True	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	3	1	234	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/friend_fate	Row's fate is unknown.	Row's fate is unknown.	True	False	True	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	3	1	18	game_menu	MainMenu	MENU/UI/Canvas/MedalsButton/runs_text	Runs: 1 Record: 35 Days	Runs: 1 Record: 35 Days	True	False	True	False	True	layout-risk-review		multiline|preferred_height_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	3	1	144	game_menu	MainMenu	MENU/UI/Canvas/MedalsButton/runs_text	Runs: 2 Record: 33 Days	Runs: 2 Record: 33 Days	True	False	True	False	True	layout-risk-review		multiline|preferred_height_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	3	1	126	game_menu	MainMenu	MENU/UI/Canvas/MedalsButton/runs_text	Runs: 3 Record: 33 Days	Runs: 3 Record: 33 Days	True	False	True	False	True	layout-risk-review		multiline|preferred_height_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	108	game_storyGameNight	UnknownNeedsContext	UI/HUD/SendFriend_Fred/GoBackToSleep/Image/Text (TMP)	Send Frederik Instead?	Send Frederik Instead?	True	False	True	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	5	2	36	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/DialogBubble/DialogText	What do you think? Should we do this?	What do you think? Should we do this?	True	False	True	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	210	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightText	Близкий Вызов Кухонный	Близкий Вызов Кухонный	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect|preferred_height_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	3	1	210	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	В воздухе пахло гнилью, а когда я осмотрелся... море было красным. Густо-красным. Будто кровавым.Я надел дыхательное снаряжение и нырнул проверить.Внизу раздался глубокий треск, а затем появилось именно то, что я искал.И оно тоже искало меня.	В воздухе пахло гнилью, а когда я осмотрелся... море было красным. Густо-красным. Будто кровавым.<br>Я надел дыхательное снаряжение и нырнул проверить.<br>Внизу раздался глубокий треск, а затем появилось именно то, что я искал.<br>И оно тоже искало меня.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	1036	game_storyGameDay	UnknownNeedsContext	UI/StoryPaperCanvas/StoryPanel/Button_Send/Text (TMP)	В ПУТЬ	В ПУТЬ	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect|preferred_height_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	602	game_runEnd	EndingStatsScreen	UI/ENDING_CANVAS/yourfate	Ваша судьба...	Ваша судьба...	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect|preferred_height_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	3	1	210	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Вдали я заметил кого-то на скале. Не успел подумать, как услышал странно спокойную, мирную мелодию.Слишком утешительно, чтобы быть безопасным, решил я и отказался слушать. К утру она исчезла.Наверное, решила, что песня мне не понравилась.	Вдали я заметил кого-то на скале. Не успел подумать, как услышал странно спокойную, мирную мелодию.<br>Слишком утешительно, чтобы быть безопасным, решил я и отказался слушать. К утру она исчезла.<br>Наверное, решила, что песня мне не понравилась.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	1022	game_storyGameDay	FishingResultCard	THE BOAT/TASKS/Task_Fishing/FishedVisuals/InfoCanvas/FishedInfoHolder/paper/bottom	Вес: 0.5 кг	<b>Вес:</b> 0.5 кг	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect|preferred_height_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	3	1	392	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Ветер дул так сильно, что не давал мне отдохнуть…Запасы легко могло повредить или унести течением, поэтому я закрепил их сетью. Утром всё равно пришлось всё перекладывать, но ничего не пострадало…Кроме сети.	Ветер дул так сильно, что не давал мне отдохнуть…<br>Запасы легко могло повредить или унести течением, поэтому я закрепил их сетью. Утром всё равно пришлось всё перекладывать, но ничего не пострадало…<br>Кроме сети.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	5	2	630	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Ветер не давал мне отдохнуть. Стоило потерять осторожность, и он легко сбросил бы меня с лодки прямо в океан…Пока я пытался выбраться из этой ситуации, мне в лицо прилетела рыба: её принесло течением. От еды, посланной высшими силами, я отказываться не стану.	Ветер не давал мне отдохнуть. Стоило потерять осторожность, и он легко сбросил бы меня с лодки прямо в океан…<br>Пока я пытался выбраться из этой ситуации, мне в лицо прилетела рыба: её принесло течением. От еды, посланной высшими силами, я отказываться не стану.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	14812	game_storyGameDay	UnknownNeedsContext	RandomDayBox/RANDOMBOX_HUD/RESULT_panel/panelmenu/bg/Title	Внутри найдено:	Внутри найдено:	False	True	False	False	True	layout-risk-review		preferred_height_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	5	2	56	game_menu	MainMenu	MENU/UI/Canvas/MedalsButton/Medals/Medal_1/Desc	Возьмите снаряжение для разведки...	Возьмите снаряжение для разведки...	False	True	False	False	True	layout-risk-review		preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	3	1	448	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Вот и всё, Дороти ушла ко дну...Мы с Роу остались одни в старой шлюпке.Не знаю, что ударило по кораблю. Судя по звуку, знать не хочу.Теперь нам надо выжить.	Вот и всё, Дороти ушла ко дну...<br>Мы с Роу остались одни в старой шлюпке.<br>Не знаю, что ударило по кораблю. Судя по звуку, знать не хочу.<br>Теперь нам надо выжить.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_VADUVKA_20260628_233804.zip	3	1	420	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Вот и всё, Дороти ушла ко дну...Мы с Фредериком остались одни в старой шлюпке.Не знаю, что ударило по кораблю. Судя по звуку, знать не хочу.Теперь нам надо выжить.	Вот и всё, Дороти ушла ко дну...<br>Мы с Фредериком остались одни в старой шлюпке.<br>Не знаю, что ударило по кораблю. Судя по звуку, знать не хочу.<br>Теперь нам надо выжить.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	3	1	630	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Вот и всё, Дороти ушла ко дну...Я остался один в старой шлюпке.Не знаю, что ударило по кораблю. Судя по звуку, знать не хочу.Теперь мне надо выжить.	Вот и всё, Дороти ушла ко дну...<br>Я остался один в старой шлюпке.<br>Не знаю, что ударило по кораблю. Судя по звуку, знать не хочу.<br>Теперь мне надо выжить.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	3	1	84	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Вчера вечером течение принесло к лодке бутылку. Интересно, кто отправил её в океан. И когда... и зачем...На обратной стороне бумага совсем пустая, так что у меня есть шанс отправить ответ обратно в море.	Вчера вечером течение принесло к лодке бутылку. Интересно, кто отправил её в океан. И когда... и зачем...<br>На обратной стороне бумага совсем пустая, так что у меня есть шанс отправить ответ обратно в море.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	3	1	210	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightText	Глубокий Красный	Глубокий Красный	False	True	False	False	True	layout-risk-review		preferred_height_gt_rect
dswf_audit_logs_DIGIDRO-PC_20260629_143052.zip	3	1	630	game_storyGameDay	Journal	UI/HUD/JournalMainBook/Mask/NightDescription	Грохот разорвал мой сон, а следом лодку так дёрнуло, что я почувствовал это костями.Неподалёку появился водоворот.Обойти его было невозможно, и я решил довериться волнам. К счастью, к утру в море не осталось никаких дыр.	Грохот разорвал мой сон, а следом лодку так дёрнуло, что я почувствовал это костями.<br>Неподалёку появился водоворот.<br>Обойти его было невозможно, и я решил довериться волнам. К счастью, к утру в море не осталось никаких дыр.	False	True	False	False	True	layout-risk-review		long_text|preferred_width_gt_rect
dswf_audit_logs_COMPUTER_20260629_142216.zip	7	3	304	game_storyGameDay	Dialogue	UI/HUD/TalkDialog/OptionMode/ItemAndText/ChoiceText/ChoiceSpace/Yes/Text (TMP)	Да	Да	False	True	False	False	True	layout-risk-review		narrow_rect|preferred_height_gt_rect
