source	asset_file	object_type	object_name	path_id	field_path	offset_or_location	confidence	notes
Row	level2	MonoBehaviour		7184	known_string_search	byte 1135092 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 7184
Row	level2	MonoBehaviour		7232	known_string_search	byte 1139700 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 7232
Row	level2	MonoBehaviour		7388	known_string_search	byte 1152324 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 7388
Row	level2	MonoBehaviour		7415	known_string_search	byte 1154436 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 7415
Row	level2	MonoBehaviour		7576	known_string_search	byte 1170820 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 7576
Row	level2	MonoBehaviour	Who1	7415	raw_length_prefixed_string	byte 1154436	high	length-prefixed MonoBehaviour string; owning GameObject 'Who1'
Row	level2	MonoBehaviour	Who1 (1)	7576	raw_length_prefixed_string	byte 1170820	high	length-prefixed MonoBehaviour string; owning GameObject 'Who1 (1)'
Row	level2	MonoBehaviour	Who1 (2)	7232	raw_length_prefixed_string	byte 1139700	high	length-prefixed MonoBehaviour string; owning GameObject 'Who1 (2)'
Row	level2	MonoBehaviour	Who1 (3)	7184	raw_length_prefixed_string	byte 1135092	high	length-prefixed MonoBehaviour string; owning GameObject 'Who1 (3)'
Row	level2	MonoBehaviour	Who1 (4)	7388	raw_length_prefixed_string	byte 1152324	high	length-prefixed MonoBehaviour string; owning GameObject 'Who1 (4)'
Row	level2	raw_bytes			known_string_search	byte 1135092 (utf-8)	medium	known-string raw hit for 'Row'
Talk	level3	GameObject	TalkDialog	1030	known_string_search	byte 190168 (utf-8)	medium	known-string raw hit for 'Talk'; raw hit falls inside Unity object 1030
Row	level3	GameObject	WaterToRow	563	known_string_search	byte 159819 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 563
Talk	level3	GameObject	doTask_friendTalk	933	known_string_search	byte 183925 (utf-8)	medium	known-string raw hit for 'Talk'; raw hit falls inside Unity object 933
Talk	level3	MonoBehaviour		4320	known_string_search	byte 816172 (utf-8)	medium	known-string raw hit for 'Talk'; raw hit falls inside Unity object 4320
Close Journal	level3	MonoBehaviour		4326	known_string_search	byte 819404 (utf-8)	medium	known-string raw hit for 'Close Journal'; raw hit falls inside Unity object 4326
End Day	level3	MonoBehaviour		4341	known_string_search	byte 827404 (utf-8)	medium	known-string raw hit for 'End Day'; raw hit falls inside Unity object 4341
Well, there goes Dorothy	level3	MonoBehaviour		4353	known_string_search	byte 833772 (utf-8)	medium	known-string raw hit for 'Well, there goes Dorothy'; raw hit falls inside Unity object 4353
I feel healthy	level3	MonoBehaviour		4354	known_string_search	byte 834572 (utf-8)	medium	known-string raw hit for 'I feel healthy'; raw hit falls inside Unity object 4354
Happy	level3	MonoBehaviour		4644	known_string_search	byte 895540 (utf-8)	medium	known-string raw hit for 'Happy'; raw hit falls inside Unity object 4644
Talk	level3	MonoBehaviour		4772	known_string_search	byte 919072 (utf-8)	medium	known-string raw hit for 'Talk'; raw hit falls inside Unity object 4772
Talk	level3	MonoBehaviour		4779	known_string_search	byte 920134 (utf-8)	medium	known-string raw hit for 'Talk'; raw hit falls inside Unity object 4779
Talk	level3	MonoBehaviour		4824	known_string_search	byte 926142 (utf-8)	medium	known-string raw hit for 'Talk'; raw hit falls inside Unity object 4824
Talk	level3	MonoBehaviour		4826	known_string_search	byte 926750 (utf-8)	medium	known-string raw hit for 'Talk'; raw hit falls inside Unity object 4826
Happy	level3	MonoBehaviour	FriendManageUI	4644	raw_length_prefixed_string	byte 895540	high	length-prefixed MonoBehaviour string; owning GameObject 'FriendManageUI'
Well, there goes Dorothy…<br>I’m the only one left, stuck on this old junk of a lifeboat.<br>I have no idea what struck our ship, and judging by the sound, I honestly don’t want to find out.<br>Now all I can do is survive as long as I need. I’m sure help will come soon.	level3	MonoBehaviour	NightDescription	4353	raw_length_prefixed_string	byte 833772	high	length-prefixed MonoBehaviour string; owning GameObject 'NightDescription'
Close Journal	level3	MonoBehaviour	Text (TMP)	4326	raw_length_prefixed_string	byte 819404	high	length-prefixed MonoBehaviour string; owning GameObject 'Text (TMP)'
End Day	level3	MonoBehaviour	Text (TMP)	4341	raw_length_prefixed_string	byte 827404	high	length-prefixed MonoBehaviour string; owning GameObject 'Text (TMP)'
Talk	level3	MonoBehaviour	doTask_friendTalk	4772	raw_length_prefixed_string	byte 919072	high	length-prefixed MonoBehaviour string; owning GameObject 'doTask_friendTalk'
I feel healthy!	level3	MonoBehaviour	mood_info	4354	raw_length_prefixed_string	byte 834572	high	length-prefixed MonoBehaviour string; owning GameObject 'mood_info'
Talk?	level3	MonoBehaviour	text_use	4320	raw_length_prefixed_string	byte 816172	high	length-prefixed MonoBehaviour string; owning GameObject 'text_use'
Close Journal	level3	raw_bytes			known_string_search	byte 819404 (utf-8)	medium	known-string raw hit for 'Close Journal'
End Day	level3	raw_bytes			known_string_search	byte 827404 (utf-8)	medium	known-string raw hit for 'End Day'
Happy	level3	raw_bytes			known_string_search	byte 895540 (utf-8)	medium	known-string raw hit for 'Happy'
I feel healthy	level3	raw_bytes			known_string_search	byte 834572 (utf-8)	medium	known-string raw hit for 'I feel healthy'
Row	level3	raw_bytes			known_string_search	byte 159819 (utf-8)	medium	known-string raw hit for 'Row'
Talk	level3	raw_bytes			known_string_search	byte 183925 (utf-8)	medium	known-string raw hit for 'Talk'
Well, there goes Dorothy	level3	raw_bytes			known_string_search	byte 833772 (utf-8)	medium	known-string raw hit for 'Well, there goes Dorothy'
Happy	level4	GameObject	Canvas_Happy	1127	known_string_search	byte 327183 (utf-8)	medium	known-string raw hit for 'Happy'; raw hit falls inside Unity object 1127
Canvas_Happy	level4	GameObject	Canvas_Happy	1127	m_Name	typetree	high	UnityPy typetree known-string hit
Happy	level4	GameObject	Canvas_Happy	1607	known_string_search	byte 358671 (utf-8)	medium	known-string raw hit for 'Happy'; raw hit falls inside Unity object 1607
Canvas_Happy	level4	GameObject	Canvas_Happy	1607	m_Name	typetree	high	UnityPy typetree known-string hit
Happy	level4	GameObject	Canvas_Happy	196	known_string_search	byte 266207 (utf-8)	medium	known-string raw hit for 'Happy'; raw hit falls inside Unity object 196
Canvas_Happy	level4	GameObject	Canvas_Happy	196	m_Name	typetree	high	UnityPy typetree known-string hit
Happy	level4	GameObject	Canvas_Happy	2224	known_string_search	byte 399535 (utf-8)	medium	known-string raw hit for 'Happy'; raw hit falls inside Unity object 2224
Canvas_Happy	level4	GameObject	Canvas_Happy	2224	m_Name	typetree	high	UnityPy typetree known-string hit
Happy	level4	GameObject	Canvas_Happy	417	known_string_search	byte 280575 (utf-8)	medium	known-string raw hit for 'Happy'; raw hit falls inside Unity object 417
Canvas_Happy	level4	GameObject	Canvas_Happy	417	m_Name	typetree	high	UnityPy typetree known-string hit
Happy	level4	GameObject	Canvas_Happy	857	known_string_search	byte 309439 (utf-8)	medium	known-string raw hit for 'Happy'; raw hit falls inside Unity object 857
Canvas_Happy	level4	GameObject	Canvas_Happy	857	m_Name	typetree	high	UnityPy typetree known-string hit
Happy	level4	raw_bytes			known_string_search	byte 266207 (utf-8)	medium	known-string raw hit for 'Happy'
Row	resources.assets	GameObject	DebugUIRow	420	known_string_search	byte 15651535 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 420
Row	resources.assets	MonoBehaviour		2091	known_string_search	byte 16086008 (utf-8)	medium	known-string raw hit for 'Row'; raw hit falls inside Unity object 2091
UnityEngine.Rendering.DebugUI+Table+Row, Unity.RenderPipelines.Core.Runtime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null	resources.assets	MonoBehaviour	DebugUICanvas	2091	raw_length_prefixed_string	byte 16085972	high	length-prefixed MonoBehaviour string; owning GameObject 'DebugUICanvas'
.. I’m not sold on the idea that all this was a coincidence.	resources.assets	TextAsset	dialogues	160	known_string_search	byte 13672403 (utf-8)	medium	"known-string raw hit for "".. I'm not sold on the idea that all this was a coincidence.""; raw hit falls inside Unity object 160"
… Why did you choose me?	resources.assets	TextAsset	dialogues	160	known_string_search	byte 13669773 (utf-8)	medium	known-string raw hit for '... Why did you choose me?'; raw hit falls inside Unity object 160
ENGLISH	resources.assets	TextAsset	dialogues	160	m_Script[].MAN	csv row 2	high	player-facing TextAsset CSV payload
Ya like fishing? I could make more bait from leftovers. They loove munching on themselves!	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_01].MAN	csv row 129	high	player-facing TextAsset CSV payload
…	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_01].WHO	csv row 129	high	player-facing TextAsset CSV payload
D- do we want to fish more efficiently? I could make some more bait from fish..	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_01].WOMAN	csv row 129	high	player-facing TextAsset CSV payload
So, what do you say?	resources.assets	TextAsset	dialogues	160	m_Script[bait_from_food_02].MAN	csv row 130	high	player-facing TextAsset CSV payload
